SPASE_AlternateName,HelioData_long_name
"['1987-022A', 'GOES-H', 'PEACESAT']",1987-022A
"['1994-022A', 'GOES-NEXT', 'GOES-I']",1994-022A
"['1995-025A', 'GOES-NEXT', 'GOES-J']",1995-025A
"['Global-scale Observations of the Limb and Disk', 'SES-14', '43175']",Global-scale Observations of the Limb and Disk
['Global Oscillation Network Group'],Global Oscillation Network Group
['Gravity Recovery and Climate Experiment (GRACE)'],Gravity Recovery and Climate Experiment (GRACE)
['ASTRON 2'],ASTRON 2
['Observatory Station Code: ABN'],Observatory Station Code: ABN
['Observatory Station Code: ABK'],Observatory Station Code: ABK
['Observatory Station Code: AAE'],Observatory Station Code: AAE
['Observatory Station Code: AGN'],Observatory Station Code: AGN
['Akulivik Geophysical Observatory'],Akulivik Geophysical Observatory
['Observatory Station Code: ALE'],Observatory Station Code: ALE
['Observatory Station Code: ABG'],Observatory Station Code: ABG
['Observatory Station Code: AAA'],Observatory Station Code: AAA
['Observatory Station Code: ALM'],Observatory Station Code: ALM
['Observatory Station Code: AMT'],Observatory Station Code: AMT
['Observatory Station Code: AML'],Observatory Station Code: AML
['Amderma Geophysical Observatory'],Amderma Geophysical Observatory
['Observatory Station Code: AMER'],Observatory Station Code: AMER
['Anchorage Geophysical Observatory'],Anchorage Geophysical Observatory
['Andenes Geophysical Observatory'],Andenes Geophysical Observatory
['Observatory Station Code: ANN'],Observatory Station Code: ANN
['Observatory Station Code: TAN'],Observatory Station Code: TAN
['Observatory Station Code: API'],Observatory Station Code: API
['Observatory Station Code: ARCT'],Observatory Station Code: ARCT
['Observatory Station Code: ARC'],Observatory Station Code: ARC
['Observatory Station Code: ARE'],Observatory Station Code: ARE
['Observatory Station Code: ARK'],Observatory Station Code: ARK
['Observatory Station Code: ARS'],Observatory Station Code: ARS
['Observatory Station Code: ASC'],Observatory Station Code: ASC
"['Observatory Station Code: ASH', 'Vannovskaya']",Observatory Station Code: ASH
['Observatory Station Code: ASO'],Observatory Station Code: ASO
['Athabasca Geophysical Observatory'],Athabasca Geophysical Observatory
['Attu Geophysical Observatory'],Attu Geophysical Observatory
['Augsburg College Search Coil Ground Observatory Group'],Augsburg College Search Coil Ground Observatory Group
['Athabasca University THEMIS UCLA Magnetometer Network'],Athabasca University THEMIS UCLA Magnetometer Network
['Observatory Station Code: BAG'],Observatory Station Code: BAG
['Baker Lake Geophysical Observatory'],Baker Lake Geophysical Observatory
['Observatory Station Code: BNG'],Observatory Station Code: BNG
['Observatory Station Code: BGY'],Observatory Station Code: BGY
['Baranov Geophysical Observatory'],Baranov Geophysical Observatory
['Barentsburg Geophysical Observatory'],Barentsburg Geophysical Observatory
['Barrow Geophysical Observatory'],Barrow Geophysical Observatory
['BAS'],BAS
['Observatory Station Code: BMLS'],Observatory Station Code: BMLS
['BBSO'],BBSO
"['Bureau Central De Magnetisme Terrestre France', 'French National Magnetic Observatory']",Bureau Central De Magnetisme Terrestre France
"['Observatory Station Code: BJN', 'Bjørnøya']",Observatory Station Code: BJN
['Observatory Station Code: BJI'],Observatory Station Code: BJI
['Observatory Station Code: BMT'],Observatory Station Code: BMT
['Observatory Station Code: BLT'],Observatory Station Code: BLT
['Observatory Station Code: BEL'],Observatory Station Code: BEL
['Bennington Geophysical Observatory'],Bennington Geophysical Observatory
['Observatory Station Code: KGD'],Observatory Station Code: KGD
['Bettles Geophysical Observatory'],Bettles Geophysical Observatory
['British Geological Survey'],British Geological Survey
['Observatory Station Code: BDE'],Observatory Station Code: BDE
['Observatory Station Code: BJN'],Observatory Station Code: BJN
['Bjornoya Geophysical Observatory'],Bjornoya Geophysical Observatory
