SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/DE,DE,Dynamics Explorer Mission,Dynamics Explorer,['DE']
spase://SMWG/Observatory/DKIST,Daniel K Inouye Solar Telescope (DKIST),Daniel K Inouye Solar Telescope (DKIST),Daniel K Inouye Solar Telescope (DKIST),['']
spase://SMWG/Observatory/DMI,Geophysical Institute Magnetometer Array,Geophysical Institute Magnetometer Array,DMI,['DMI']
spase://SMWG/Observatory/DMSP,DMSP,DMSP Series,Defense Meteorological Satellite Program,['Defense Meteorological Satellite Program']
spase://SMWG/Observatory/DMSP_5D-2,DMSP_5D 2,DMSP_5D-2,DMSP_5D-2,['']
spase://SMWG/Observatory/DMSP_5D-2/F08,DMSP_5D 2 F08,DMSP_5D-2/F08,DMSP-F8,"['DMSP-F8', 'USA 26', 'WX9543', '18123']"
spase://SMWG/Observatory/DMSP_5D-2/F09,DMSP_5D 2 F09,DMSP_5D-2/F09,DMSP-F9,"['DMSP-F9', 'USA 29', '18822']"
spase://SMWG/Observatory/DMSP_5D-2/F10,DMSP_5D 2 F10,DMSP_5D-2/F10,DMSP-F10,"['DMSP-F10', 'USA 68', '20978']"
spase://SMWG/Observatory/DMSP_5D-2/F11,DMSP_5D 2 F11,DMSP_5D-2/F11,DMSP-F11,"['DMSP-F11', 'USA 73', '21798']"
spase://SMWG/Observatory/DMSP_5D-2/F12,DMSP_5D 2 F12,DMSP_5D-2/F12,DMSP-F12,"['DMSP-F12', 'USA 106', '23233']"
spase://SMWG/Observatory/DMSP_5D-2/F13,DMSP_5D 2 F13,DMSP_5D-2/F13,DMSP-F13,"['DMSP-F13', 'USA 109', '23533']"
spase://SMWG/Observatory/DMSP_5D-2/F14,DMSP_5D 2 F14,DMSP_5D-2/F14,DMSP-F14,"['DMSP-F14', 'USA 131', '24753']"
spase://SMWG/Observatory/DMSP_5D-3/F15,"Defense Meteorological Satellite Program, DMSP F15","Defense Meteorological Satellite Program, DMSP-F15",DMSP_5D-3/F15,"['DMSP_5D-3/F15', 'DMSP-F15', 'USA 147', '25991']"
spase://SMWG/Observatory/DMSP_5D-3/F16,"Defense Meteorological Satellite Program, DMSP F16","Defense Meteorological Satellite Program, DMSP-F16",DMSP_5D-3/F16,"['DMSP_5D-3/F16', 'DMSP-F16', 'USA 171', '28054']"
spase://SMWG/Observatory/DMSP_5D-3/F17,"Defense Meteorological Satellite Program, DMSP F17","Defense Meteorological Satellite Program, DMSP-F17",DMSP_5D-3/F17,"['DMSP_5D-3/F17', 'DMSP-F17', '29522']"
spase://SMWG/Observatory/DMSP_5D-3/F18,"Defense Meteorological Satellite Program, DMSP F18","Defense Meteorological Satellite Program, DMSP-F18",DMSP_5D-3/F18,"['DMSP_5D-3/F18', 'DMSP-F18', 'USA 210', '35951']"
spase://SMWG/Observatory/DMSP_5D-3/F19,"Defense Meteorological Satellite Program, DMSP F19","Defense Meteorological Satellite Program, DMSP-F19",DMSP_5D-3/F19,"['DMSP_5D-3/F19', 'DMSP-F19', 'USA 249', '39630']"
spase://SMWG/Observatory/DMSP_5D-3/S20,"Defense Meteorological Satellite Program, DMSP S20","Defense Meteorological Satellite Program, DMSP-S20",DMSP_5D-3/S20,['DMSP_5D-3/S20']
spase://SMWG/Observatory/DoubleStar,Double Star,Double Star Mission,Tan Ce,"['Tan Ce', 'TC']"
spase://SMWG/Observatory/DoubleStar1,Double Star 1,Double Star 1,2003-061A,"['2003-061A', 'Tan Ce1', 'TC 1', '28140']"
spase://SMWG/Observatory/DoubleStar2,Double Star 2,Double Star 2,Explorer  2,"['2004-029A', 'Explorer  2', 'Tan Ce 2', 'TC 2']"
spase://SMWG/Observatory/DRAO,DRAO,DRAO,Dominion Radio Astrophysical Observatory,['Dominion Radio Astrophysical Observatory']
spase://SMWG/Observatory/DSCOVR,DSCOVR,"Deep Space Climate Observatory, DSCOVR",Deep Space Climate Observatory,['2015-007A']
spase://SMWG/Observatory/DST,Dunn Solar Telescope (DST),Dunn Solar Telescope (DST),Dunn Solar Telescope (DST),['']
spase://SMWG/Observatory/Dst.Index,Dst Index Observatory Group,Dst Index Observatory Group,Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.,['Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.']
spase://SMWG/Observatory/DSX,DSX,DSX,Demonstrations and Science Experiment,['Demonstrations and Science Experiment']
spase://SMWG/Observatory/DTUMGS,Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations,['']
spase://SMWG/Observatory/DynamicsExplorer1,Dynamics Explorer 1,Dynamics Explorer 1,Dynamics Explorer-A,"['1981-070A', 'Explorer 62', 'DE-A', 'DE 1', 'Dynamics Explorer-A']"
spase://SMWG/Observatory/DynamicsExplorer2,Dynamics Explorer 2,Dynamics Explorer 2,Dynamics Explorer-B,"['1981-070B', 'Explorer 63', 'DE-B', 'DE 2', 'Dynamics Explorer-B']"
spase://SMWG/Observatory/E-CALLISTO,e CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers,['']
spase://SMWG/Observatory/ELFIN/A,ELFIN A,"ELFIN A, CubeSat","Electron Losses and Fields Investigation A, CubeSat",['']
spase://SMWG/Observatory/ELFIN/B,ELFIN B,"ELFIN B, CubeSat","Electron Losses and Fields Investigation B, CubeSat",['']
spase://SMWG/Observatory/EMM,Emirates Mars (EMM),Emirates Mars Mission (EMM),Emirates Mars Mission (EMM),['']
spase://SMWG/Observatory/Equator-S,Equator S,Equator-S,ISTP/Equator-S,"['ISTP/Equator-S', '25068']"
spase://SMWG/Observatory/EskimoPoint,ESKI,ESKI,ESKI,['']
spase://SMWG/Observatory/EvansSolarFacility,Evans Solar Facility,Evans Solar Facility,John W. Evans Solar Facility,"['ESF', 'John W. Evans Solar Facility']"
spase://SMWG/Observatory/Explorer,Explorer Spacecraft Series,Explorer Spacecraft Series,Explorer Spacecraft Series,['']
spase://SMWG/Observatory/Explorer22,Explorer 22,Explorer 22,Beacon Explorer-B,"['1964-064A', 'BE-B', 'Beacon Explorer-B']"
spase://SMWG/Observatory/Explorer31,Explorer 31,Explorer 31,1965-098B,"['1965-098B', 'DME-A', '01806']"
spase://SMWG/Observatory/Explorer32,Explorer 32,Explorer 32,Atmosphere Explorer-B,"['1966-044A', 'AE-B', 'Atmosphere Explorer-B', '02183']"
spase://SMWG/Observatory/Explorer33,Explorer 33,Explorer 33,AIMP A,"['IMP D', 'AIMP A', 'AIMP 1', '02258']"
spase://SMWG/Observatory/Explorer35,Explorer,Explorer 35,Anchored IMP 2,"['IMP E', 'AIMP B', 'AIMP 2', 'Anchored IMP 2', '02884']"
spase://SMWG/Observatory/FAST,FAST,FAST,Fast Auroral Snapshot,"['1996-049A', 'Small Explorer/FAST', 'Explorer 70', 'SMEX/FAST', 'Fast Auroral SnapshoT Explorer']"
spase://SMWG/Observatory/FERMI,Fermi Gamma ray Space Telescope,Fermi Gamma-ray Space Telescope,Fermi Gamma-ray Space Telescope,['']
spase://SMWG/Observatory/FortMcMurray,MCMU,MCMU,MCMU,['']
spase://SMWG/Observatory/FortSimpson,FSIM,FSIM,FSIM,['']
spase://SMWG/Observatory/FortSmith,FSMI,FSMI,FSMI,['']
spase://SMWG/Observatory/Galileo,Galileo,Galileo,Galileo Orbiter-Probe,"['Galileo Orbiter-Probe', 'Jupiter Orbiter-Probe']"
spase://SMWG/Observatory/Genesis,Genesis,Genesis,Genesis Solar Wind Sample Return,"['2001-034A', 'Genesis Solar Wind Sample Return']"
spase://SMWG/Observatory/Geotail,Geotail,Geotail,Geomagnetic Tail Lab,"['1992-044A', 'GTL', 'ISTP/Geotail', 'GGS/Geotail', 'Geomagnetic Tail Lab']"
spase://SMWG/Observatory/Gillam,GILL,GILL,GILL,['']
spase://SMWG/Observatory/Giotto,Giotto,Giotto,Giotto,['']
spase://SMWG/Observatory/GOCE,Gravity Field and Steady State Ocean Circulation Explorer (GOCE),Gravity Field and Steady-State Ocean Circulation Explorer (GOCE),Gravity Field and Steady-State Ocean Circulation Explorer (GOCE),['']
spase://SMWG/Observatory/GOES,GOES1,Geostationary Operational Environmental Satellites,Geostationary Operational Environmental Satellites,['GOES Satellite Series']
spase://SMWG/Observatory/GOES/1,GOES 1,GOES 1,Geostationary Operational Environmental Satellites 1,"['Geostationary Operational Environmental Satellites 1', '1975-100A']"
spase://SMWG/Observatory/GOES/10,GOES 10,GOES 10,1997-019A,"['1997-019A', 'GOES-K']"
spase://SMWG/Observatory/GOES/11,GOES 11,GOES 11,2000-022A,"['2000-022A', 'GOES-L', 'GOES-NEXT']"
spase://SMWG/Observatory/GOES/12,GOES 12,GOES 12,2001-031A,"['2001-031A', 'GOES-M']"
spase://SMWG/Observatory/GOES/13,GOES 13,GOES 13,Geostationary Operational Environmental Satellite 13,"['Geostationary Operational Environmental Satellite 13', '2006-018A', 'GOES N']"
spase://SMWG/Observatory/GOES/14,GOES 14,GOES 14,Geostationary Operational Environmental Satellite 14,"['Geostationary Operational Environmental Satellite 14', 'GOES O', '2009-033A']"
