SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/NOAA/16,NOAA 16,NOAA 16,Advanced TIROS-N (ATN),"['2000-055A', 'Advanced TIROS-N (ATN)', 'POES 16']"
spase://SMWG/Observatory/NOAA/17,NOAA 17,NOAA 17,Advanced TIROS-N (ATN),"['2002-032A', 'Advanced TIROS-N (ATN)']"
spase://SMWG/Observatory/NOAA/18,NOAA 18,NOAA 18,Advanced TIROS-N (ATN),"['2005-018A', 'Advanced TIROS-N (ATN)']"
spase://SMWG/Observatory/NOAA/19,NOAA 19,NOAA 19,NOAA-N Prime,"['2009-005A', 'NOAA-N Prime']"
spase://SMWG/Observatory/NOAA/5,NOAA 5,NOAA 5,1976-077A,"['1976-077A', 'ITOS-H']"
spase://SMWG/Observatory/NOAA/6,NOAA 6,NOAA 6,1979-057A,"['1979-057A', 'NOAA-A']"
spase://SMWG/Observatory/NOAA/7,NOAA 7,NOAA 7,1981-059A,"['1981-059A', 'NOAA-C']"
spase://SMWG/Observatory/NOAA/8,NOAA 8,NOAA 8,1983-022A,"['1983-022A', 'NOAA-E']"
spase://SMWG/Observatory/NOAA/9,NOAA,NOAA 9,NOAA 9,['']
spase://SMWG/Observatory/NOB_RH,NOB_RH,NOB_RH,NOB_RH,['']
spase://SMWG/Observatory/NSO,NSO Observatory Group,NSO Observatory Group,NSO Observatory Group,['']
spase://SMWG/Observatory/OAC,OAC,OAC,OAC,['']
spase://SMWG/Observatory/ObsParis,ObsParis,ObsParis,ObsParis,['']
spase://SMWG/Observatory/Oersted,Oersted,Oersted,NSSDC ID: 1999-008B,"['Orsted', 'NSSDC ID: 1999-008B']"
spase://SMWG/Observatory/OGO,OGO,OGO Satellites,OGO Satellites,['']
spase://SMWG/Observatory/OGO2,OGO 2,OGO 2,1965-081A,"['OGO-C', 'POGO 1', '01620', '1965-081A']"
spase://SMWG/Observatory/OGO4,OGO 4,OGO 4,1967-073A,"['1967-073A', 'OGO-D', 'POGO 2']"
spase://SMWG/Observatory/OGO6,OGO 6,OGO 6,1969-051A,"['1969-051A', 'OGO-F', 'PL-691D', 'S 60', 'POGO 3']"
spase://SMWG/Observatory/Ohzora,Ohzora,Ohzora,Exospheric Sat. C,"['1984-015A', 'Exospheric Sat. C', 'EXOS-C']"
spase://SMWG/Observatory/OMNI,OMNI,OMNI,OMNI,['']
spase://SMWG/Observatory/OV1-19,OV1 19,OV1-19,1969-025C,"['LANL97A', '1969-025C', '03825']"
spase://SMWG/Observatory/OV3-3,OV3 3,OV3-3,1966-070A,"['1966-070A', '02389']"
spase://SMWG/Observatory/PADRE,PADRE,PADRE,Solar Polarization and Directivity X-Ray Experiment,['Solar Polarization and Directivity X-Ray Experiment']
spase://SMWG/Observatory/ParkerSolarProbe,PSP,Parker Solar Probe Spacecraft,Parker Solar Probe,"['PSP', 'Solar Probe Plus Spacecraft', 'SPP']"
spase://SMWG/Observatory/Phobos2,Phobos,Phobos 2,Fobos 2,['Fobos 2']
spase://SMWG/Observatory/PICARD,PICARD,PICARD,PICARD,['']
spase://SMWG/Observatory/PicduMidi,Pic du Midi,Pic du Midi,Pic du Midi,['']
spase://SMWG/Observatory/Pinawa,PINA,PINA,PINA,['']
spase://SMWG/Observatory/Pioneer,Pioneer,Pioneer Spacecraft Series,Pioneer Spacecraft Series,['']
spase://SMWG/Observatory/Pioneer10,Pioneer 10,Pioneer 10,1972-012A,"['1972-012A', 'Pioneer-F']"
spase://SMWG/Observatory/Pioneer11,Pioneer 11,Pioneer 11,1973-019A,"['1973-019A', 'Pioneer-G']"
spase://SMWG/Observatory/PioneerVenusOrbiter,Pioneer Venus Orbiter,Pioneer Venus Orbiter,Pioneer Venus 1978 Orbiter,"['1978-051A', 'Pioneer Venus 1', 'PVO', 'Pioneer 12', 'Pioneer Venus 1978 Orbiter']"
spase://SMWG/Observatory/POES,Polar orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES),Polar-orbiting Operational Environmental Satellite (POES),['']
spase://SMWG/Observatory/POLAR,Polar,POLAR,Polar,"['Polar Plasma Laboratory', 'GGS/Polar', 'ISTP/Polar']"
spase://SMWG/Observatory/PROBA2,PROBA 2,PROBA2,PROBA2,['']
spase://SMWG/Observatory/Prognoz,Prognoz,Prognoz Spacecraft Series,Prognoz Spacecraft Series,['']
spase://SMWG/Observatory/Prognoz6,Prognoz 6,Prognoz 6,1977-093A,['1977-093A']
spase://SMWG/Observatory/Prognoz7,Prognoz 7,Prognoz 7,1978-101A,['1978-101A']
spase://SMWG/Observatory/Prognoz9,Prognoz 9,Prognoz 9,1983-067A,"['1983-067A', 'Relict']"
spase://SMWG/Observatory/RabbitLake,RABB,RABB,RABB,['']
spase://SMWG/Observatory/RadioJOVE,Radio JOVE Observatory Network,Radio JOVE Observatory Network,Radio JOVE Observatory Network,['']
spase://SMWG/Observatory/RadioJOVE/AJ4CO,AJ4CO Radio Observatory,AJ4CO Radio Observatory,AJ4CO,['AJ4CO']
spase://SMWG/Observatory/RadioJOVE/HNRAO,Hawk's Nest Radio Astronomy Observatory,Hawk's Nest Radio Astronomy Observatory,HNRAO,['HNRAO']
spase://SMWG/Observatory/RadioJOVE/MTSU,Middle Tennessee State University,Middle Tennessee State University,MTSU,['MTSU']
spase://SMWG/Observatory/RankinInlet,RANK,RANK,RANK,['']
spase://SMWG/Observatory/RBSP,RBSP,Radiation Belt Storm Probe Satellite,Van Allen Probes,"['Radiation Belt Storm Probe', 'Van Allen Probes']"
spase://SMWG/Observatory/RBSP/A,Van Allen Probe A,Van Allen Probe A,Radiation Belt Storm Probe A,['Radiation Belt Storm Probe A']
spase://SMWG/Observatory/RBSP/B,Van Allen Probe B,Van Allen Probe B,Radiation Belt Storm Probe B,['Radiation Belt Storm Probe B']
spase://SMWG/Observatory/REGO,Redline Emission Geospace Observatory (rEGO),Redline Emission Geospace Observatory (rEGO),Redline Emission Geospace Observatory (rEGO),['']
spase://SMWG/Observatory/RENU2,RENU 2,"Rocket Experiment for Neutral Upwelling 2, RENU 2, Sounding Rocket Payload",Rocket Experiment for Neutral Upwelling 2,['']
spase://SMWG/Observatory/RHESSI,RHESSI,RHESSI,Reuven Ramaty High Energy Solar Spectroscope Imager,"['2002-004A', 'SMEX/RHESSI', 'Small Explorer/RHESSI', 'HESSI', 'Reuven Ramaty High Energy Solar Spectroscopic Imager']"
spase://SMWG/Observatory/ROCSAT-1,ROCSAT-1,ROCSAT-1,Republic of China Satellite-1,"['Formosat-1', 'Republic of China Satellite-1']"
spase://SMWG/Observatory/Rosetta,Rosetta,Rosetta,Rosetta Comet Rendezvous,['Rosetta Comet Rendezvous']
spase://SMWG/Observatory/S-Cubed_A,S-Cubed_A,S-Cubed A,S-Cubed A,"['Explorer 45', 'SSS-A']"
spase://SMWG/Observatory/S3-3,S3 3,S3-3,SESP S74-2A,"['SESP S74-2A', 'SS74-2A', 'S74-2', '09007']"
spase://SMWG/Observatory/SAC-C,SAC-C,SAC-C Project,SAC-C Project,"['Satélite de Aplicaciones Científicas-C', 'Scientific Application Satellite-C', 'Oersted-2', 'NSSDC ID: 2000-075B']"
spase://SMWG/Observatory/Sakigake,Sakigake,Sakigake,Pioneer,['Pioneer']
spase://SMWG/Observatory/SAMPEX,SAMPEX,SAMPEX,Solar Anomalous and Magnetospheric Particle Explorer,"['1992-038A', 'Small Explorer/SAMPEX', 'Explorer 68', 'SMEX/SAMPEX', 'Solar Anomalous and Magnetospheric Particle Explorer']"
spase://SMWG/Observatory/San.Fernando,San Fernando Observatory,San Fernando Observatory,San Fernando Observatory,['']
spase://SMWG/Observatory/SanMarco-DL,San Marco DL,San Marco-DL,San Marco-DL,['']
spase://SMWG/Observatory/SCATHA,SCATHA,SCATHA,Spacecraft Charging AT High Altitude,"['Spacecraft Charging AT High Altitudes', 'STP P78-2']"
spase://SMWG/Observatory/SDIC,SDIC,SDIC,SDIC,['']
spase://SMWG/Observatory/SDO,SDO,SDO,Solar Dynamics Observatory,['Solar Dynamics Observatory']
spase://SMWG/Observatory/SECS,Spherical Elementary Current Systems,Spherical Elementary Current Systems,Spherical Elementary Current Systems,['']
spase://SMWG/Observatory/SESAME,SESAME,SESAME,Satellite Experiments Simultaneous with Antarctic MEasurements,['Satellite Experiments Simultaneous with Antarctic MEasurements']
spase://SMWG/Observatory/SGO,Sodankylä Geophysical Observatory,Sodankylä Geophysical Observatory,Sodankylä Geophysical Observatory,['']
spase://SMWG/Observatory/SipleExperiment,Siple Experiment,Siple Experiment,Siple Experiment,['']
spase://SMWG/Observatory/Skylab,Skylab,Skylab,1973-027A,['1973-027A']
spase://SMWG/Observatory/SME,SME,SME,SME,['']
spase://SMWG/Observatory/SMILE,Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE),['']
spase://SMWG/Observatory/SNOE,SNOE,Student Nitric Oxide Explorer (SNOE),Student Nitric Oxide Explorer,['']
spase://SMWG/Observatory/SOHO,SOHO,SOHO,Solar and Heliospheric Observatory,"['1995-065A', 'Solar and Heliospheric Observatory']"
spase://SMWG/Observatory/SOLIS,SOLIS,SOLIS,SOLIS,['']
spase://SMWG/Observatory/SORCE,SORCE,SORCE,Solar Radiation and Climate Experiment,"['2003-004A', 'SOlar Radiation and Climate Experiment']"
spase://SMWG/Observatory/SRN,SRN,SRN,Station de Radioastronomie de Nançay,"['Nançay Radioastronomy Observatory', 'Station de Radioastronomie de Nançay', 'Unité Scientifique de Nançay']"
spase://SMWG/Observatory/SRN/FR606/HBA,LOFAR FR606 High Band Array,LOFAR FR606 High Band Array,LOFAR FR606 High Band Array,['']
spase://SMWG/Observatory/SRN/FR606/LBA,LOFAR FR606 Low Band Array,LOFAR FR606 Low Band Array,LOFAR FR606 Low Band Array,['']
spase://SMWG/Observatory/SRN/NDA,Nancay Decameter Array,Nancay Decameter Array,Nancay Decameter Array,['']
spase://SMWG/Observatory/SRN/NenuFAR,NenuFAR,NenuFAR,NenuFAR,['']
spase://SMWG/Observatory/SRN/NRH,Nancay Radioheliograph,Nancay Radioheliograph,Nancay Radioheliograph,['']
spase://SMWG/Observatory/SRN/NRT,Nancay Radioheliograph,Nancay Radioheliograph,Nancay Radioheliograph,['']
spase://SMWG/Observatory/SRN/ORFEES,ORFEES,ORFEES,ORFEES,['']
spase://SMWG/Observatory/ST5,ST5,ST5 Mission,ST5 Mission,['']
spase://SMWG/Observatory/ST5-094,ST5 094,ST5-094,2006-008B,"['ST5-B', '2006-008B']"
spase://SMWG/Observatory/ST5-155,ST5 155,ST5-155,2006-008A,"['ST5-A', '2006-008A']"
spase://SMWG/Observatory/ST5-224,ST5 224,ST5-224,2006-008C,"['ST5-C', '2006-008C']"
spase://SMWG/Observatory/STEP,Solar Terrestrial Energy Program,Solar-Terrestrial Energy Program,STEP,['STEP']
spase://SMWG/Observatory/STEREO,STEREO,STEREO Mission,Solar-Terrestrial Relations Observatory,['']
spase://SMWG/Observatory/STEREO-A,STEREO A,STEREO A,Solar Terrestrial Relations Observatory A,"['STEREO Ahead', 'STEREO East', 'Solar Terrestrial Relations Observatory A']"
spase://SMWG/Observatory/STEREO-B,STEREO B,STEREO B,Solar Terrestrial Relations Observatory B,"['STEREO Behind', 'STEREO West', 'Solar Terrestrial Relations Observatory B']"
spase://SMWG/Observatory/STPSat1,STPSat 1,STPSat-1,STPSat-1,['']
spase://SMWG/Observatory/Suisei,Suisei,Suisei,Planet A,['Planet A']
spase://SMWG/Observatory/SuperDARN,SuperDARN,SuperDARN,SuperDARN,['']
spase://SMWG/Observatory/SuperMAG,SuperMAG,SuperMAG,SuperMAG,['']
spase://SMWG/Observatory/SYO,Syowa Upper Atmosphere Physics Monitoring Data,Syowa Upper Atmosphere Physics Monitoring Data,SYO,['SYO']
spase://SMWG/Observatory/Taloyoak,TALO,TALO,TALO,['']
spase://SMWG/Observatory/THEMIS,THEMIS,THEMIS,Time History of Events and Macroscale Interactions during Substorms,['MIDEX/THEMIS']
spase://SMWG/Observatory/THEMIS/A,THEMIS-A,THEMIS-A,Time History of Events and Macroscale Interactions during Substorms A,"['Explorer 85', '2007-004A', 'MIDEX/THEMIS', 'THEMIS-P5', '30580']"
spase://SMWG/Observatory/THEMIS/B,THEMIS-B,THEMIS-B,Time History of Events and Macroscale Interactions during Substorms B,"['Explorer 86', '2007-004B', 'MIDEX/THEMIS', 'THEMIS-P1', 'ARTEMIS-P1', '30581']"
spase://SMWG/Observatory/THEMIS/C,THEMIS-C,THEMIS-C,Time History of Events and Macroscale Interactions during Substorms C,"['Explorer 87', '2007-004C', 'MIDEX/THEMIS', 'THEMIS-P2', 'ARTEMIS-P2', '30582']"
spase://SMWG/Observatory/THEMIS/D,THEMIS-D,THEMIS-D,Time History of Events and Macroscale Interactions during Substorms D,"['Explorer 88', '2007-004D', 'MIDEX/THEMIS', 'THEMIS-P3', '30797']"
spase://SMWG/Observatory/THEMIS/E,THEMIS-E,THEMIS-E,Time History of Events and Macroscale Interactions during Substorms E,"['Explorer 89', '2007-004E', 'MIDEX/THEMIS', 'THEMIS-P4', '30798']"
spase://SMWG/Observatory/THEMIS/Ground,THEMIS Ground,THEMIS-Associated Ground Magnetometer Stations,THEMIS-Associated Ground Magnetometer Stations,['']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG,CANMAG,CANMAG,Canadian Magnetometer Array,['NASA THEMIS CANMAG Ground Stations']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/ATHA,NASA THEMIS GBO Athabasca Station,NASA THEMIS GBO Athabasca Station,ATHA,['ATHA']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/FSIM,NASA THEMIS GBO Fort Simpson Station,NASA THEMIS GBO Fort Simpson Station,FSIM,['FSIM']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/FSMI,NASA THEMIS GBO Fort Smith Station,NASA THEMIS GBO Fort Smith Station,FSMI,['FSMI']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/FYKN,NASA THEMIS GBO Fort Yukon Station,NASA THEMIS GBO Fort Yukon Station,FYKN,['FYKN']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/GAKO,NASA THEMIS GBO Gakona Station,NASA THEMIS GBO Gakona Station,GAKO,['GAKO']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/GILL,NASA THEMIS GBO Gillam Station,NASA THEMIS GBO Gillam Station,GILL,['GILL']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/PINA,NASA THEMIS GBO Pinawa Station,NASA THEMIS GBO Pinawa Station,PINA,['PINA']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/RANK,NASA THEMIS GBO Rankin Station,NASA THEMIS GBO Rankin Station,RANK,['RANK']
spase://SMWG/Observatory/THEMIS/Ground/CANMAG/SNKQ,NASA THEMIS GBO Sanikiluaq Station,NASA THEMIS GBO Sanikiluaq Station,SNKQ,"['SNKQ', 'SNK']"
spase://SMWG/Observatory/THEMIS/Ground/GIMA,THEMIS GIMA,THEMIS-GIMA,NASA THEMIS Ground Stations in Alaska,['NASA THEMIS Ground Stations in Alaska']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO,EPO,THEMIS-EPO,NASA THEMIS EPO Ground Stations,['NASA THEMIS EPO Ground Stations']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/BMLS,NASA THEMIS EPO Bay Mills Station,NASA THEMIS EPO Bay Mills Station,BMLS,['BMLS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/CCNV,NASA THEMIS EPO Carson City Station,NASA THEMIS EPO Carson City Station,CCNV,['CCNV']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/DRBY,NASA THEMIS EPO Derby Station,NASA THEMIS EPO Derby Station,DRBY,['DRBY']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/FYTS,NASA THEMIS EPO Fort Yates Station,NASA THEMIS EPO Fort Yates Station,FYTS,['FYTS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/HOTS,NASA THEMIS EPO Hot Springs Station,NASA THEMIS EPO Hot Springs Station,HOTS,['HOTS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/LOYS,NASA THEMIS EPO Loysburg Station,NASA THEMIS EPO Loysburg Station,LOYS,['LOYS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/PINE,NASA THEMIS EPO Pine Ridge Station,NASA THEMIS EPO Pine Ridge Station,PINE,['PINE']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/PTRS,NASA THEMIS EPO Petersburg Station,NASA THEMIS EPO Petersburg Station,PTRS,['PTRS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/RMUS,NASA THEMIS EPO Remus Station,NASA THEMIS EPO Remus Station,RMUS,"['RMUS', 'RUMS']"
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/SWNO,NASA THEMIS EPO Shawano Station,NASA THEMIS EPO Shawano Station,SWNO,['SWNO']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-EPO/UKIA,NASA THEMIS EPO Ukiah Station,NASA THEMIS EPO Ukiah Station,UKIA,['UKIA']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO,THEMIS GBO,THEMIS-GBO,NASA THEMIS GBO Ground Stations,['NASA THEMIS GBO Ground Stations']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/CHBG,NASA THEMIS GBO Chibougamau Station,NASA THEMIS GBO Chibougamau Station,CHBG,['CHBG']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/EKAT,NASA THEMIS GBO Lac de Gras Station,NASA THEMIS GBO Lac de Gras Station,EKAT,['EKAT']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/GBAY,NASA THEMIS GBO Goose Bay Station,NASA THEMIS GBO Goose Bay Station,GBAY,['GBAY']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/INUV,NASA THEMIS GBO Inuvik Station,NASA THEMIS GBO Inuvik Station,INUV,['INUV']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/KAPU,NASA THEMIS GBO Kapuskasing Station,NASA THEMIS GBO Kapuskasing Station,KAPU,['KAPU']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/KIAN,NASA THEMIS GBO Kiana Station,NASA THEMIS GBO Kiana Station,KIAN,['KIAN']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/KUUJ,NASA THEMIS GBO Kuujjuarapik Station,NASA THEMIS GBO Kuujjuarapik Station,KUUJ,['KUUJ']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/MCGR,NASA THEMIS GBO McGrath Station,NASA THEMIS GBO McGrath Station,MCGR,['MCGR']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/NRSQ,NASA THEMIS GBO Narsarsuaq Station,NASA THEMIS GBO Narsarsuaq Station,NRSQ,['NRSQ']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/PGEO,NASA THEMIS GBO Prince George Station,NASA THEMIS GBO Prince George Station,PGEO,['PGEO']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/SNAP,NASA THEMIS GBO Snap Lake Station,NASA THEMIS GBO Snap Lake Station,SNAP,['SNAP']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/TALO,NASA THEMIS GBO Taloyoak Station,NASA THEMIS GBO Taloyoak Station,TALO,['TALO']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/TPAS,NASA THEMIS GBO The Pas Station,NASA THEMIS GBO The Pas Station,TPAS,['TPAS']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/WHIT,NASA THEMIS GBO White Horse Station,NASA THEMIS GBO White Horse Station,WHIT,['WHIT']
spase://SMWG/Observatory/THEMIS/Ground/UCLA-GBO/YKNF,NASA THEMIS GBO Yellow Knife Station,NASA THEMIS GBO Yellow Knife Station,YKNF,['YKNF']
spase://SMWG/Observatory/Thule,THULE,THULE,THULE,['']
spase://SMWG/Observatory/TIMED,TIMED,TIMED,Thermosphere-Ionosphere-Mesosphere Energetics and Dynamics,"['2001-055B', 'Thermosphere Ionosphere Mesosphere Energetics and Dynamics']"
spase://SMWG/Observatory/TIROSN,TIROSN,TIROSN,TIROSN,['']
spase://SMWG/Observatory/TRACE,TRACE,TRACE,Transition Region and Coronal Explorer,"['1998-020A', 'SMEX/TRACE', 'Small Explorer/TRACE', 'Transition Region and Coronal Explorer', 'Explorer 73']"
spase://SMWG/Observatory/TRACERS,Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites,Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites,Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites,['Tandem Reconnection and Cusp Electrodynamics Reconnaissance Satellites']
spase://SMWG/Observatory/TRACERS/TRACERS1,TRACERS 1,TRACERS 1,TRACERS Mission TRACERS 1 spacecraft,['TRACERS Mission TRACERS 1 spacecraft']
spase://SMWG/Observatory/TRACERS/TRACERS2,TRACERS 2,TRACERS 2,TRACERS Mission TRACERS 2 spacecraft,['TRACERS Mission TRACERS 2 spacecraft']
spase://SMWG/Observatory/TREX,Transition Region Explorer (TREx),Transition Region Explorer (TREx),Transition Region Explorer (TREx),['']
spase://SMWG/Observatory/TWINS,TWINS,TWINS Mission,Two Wide-angle Imaging Neutral Atom Spectrometers,['']
spase://SMWG/Observatory/TWINS1,TWINS 1,TWINS 1,TWINS 1,['']
spase://SMWG/Observatory/TWINS2,TWINS 2,TWINS 2,TWINS 2,['']
spase://SMWG/Observatory/UARS,UARS,UARS,Upper Atmosphere Research Satellite,['']
spase://SMWG/Observatory/UCLA/SPSG,SPSG,Space Plasma Simulation Group,UCLA Space Plasma Simulation Group,"['UCLA Space Plasma Simulation Group', 'SPSG']"
spase://SMWG/Observatory/Ulysses,Ulysses,Ulysses,International Solar Polar Mission,"['1990-090B', 'Solar Polar', 'International Solar Polar Mission', 'ULY']"
spase://SMWG/Observatory/UNH,University of New Hampshire Observatory,University of New Hampshire Observatory,University of New Hampshire Observatory,['']
spase://SMWG/Observatory/Vega,Vega,Vega Mission,Vega Mission,['Venera-Halley']
spase://SMWG/Observatory/Vega1,Vega 1,Vega 1,Venera-Halley 1,"['Venera-Halley 1', '1984-125A']"
spase://SMWG/Observatory/Vega2,Vega 2,Vega 2,Venera-Halley 2,"['Venera-Halley 2', '1984-128A']"
spase://SMWG/Observatory/VenusExpress,Venus Express,Venus Express,Venus Express,['']
spase://SMWG/Observatory/Voyager,Voyager,Voyager Spacecraft,Voyager 1 & 2,['']
spase://SMWG/Observatory/Voyager1,Voyager 1,Voyager 1,Mariner Jupiter/Saturn A,"['1977-084A', 'Mariner Jupiter/Saturn A']"
spase://SMWG/Observatory/Voyager2,Voyager 2,Voyager 2,Mariner Jupiter/Saturn B,"['1977-076A', 'Mariner Jupiter/Saturn B']"
spase://SMWG/Observatory/WDC,WDC,WDC,World Data Center Ground Observatories,"['WDC Ground Observatories', 'World Data Center Ground Observatories']"
spase://SMWG/Observatory/WDC/Abinger,Abinger Ground Observatory,Abinger Ground Observatory,Abinger Ground Observatory,['']
spase://SMWG/Observatory/WDC/Abisko,Abisko Ground Observatory,Abisko Ground Observatory,Abisko Ground Observatory,['']
spase://SMWG/Observatory/WDC/Addis.Ababa,Addis Ababa Ground Observatory,Addis Ababa Ground Observatory,Addis Ababa Ground Observatory,['']
spase://SMWG/Observatory/WDC/Agincourt,Agincourt Ground Observatory,Agincourt Ground Observatory,Agincourt Ground Observatory,['']
spase://SMWG/Observatory/WDC/Alert,Alert Ground Observatory,Alert Ground Observatory,Alert Ground Observatory,['']
spase://SMWG/Observatory/WDC/Alibag,Alibag Ground Observatory,Alibag Ground Observatory,Alibag Ground Observatory,['']
spase://SMWG/Observatory/WDC/Alice.Springs,Alice Springs Ground Observatory,Alice Springs Ground Observatory,Alice Springs Ground Observatory,['']
spase://SMWG/Observatory/WDC/Alma.Ata,Alma Ata Ground Observatory,Alma Ata Ground Observatory,Alma Ata Ground Observatory,['']
spase://SMWG/Observatory/WDC/Almeria,Almeria Ground Observatory,Almeria Ground Observatory,Almeria Ground Observatory,['']
spase://SMWG/Observatory/WDC/Amatsia,Amatsia Ground Observatory,Amatsia Ground Observatory,Amatsia Ground Observatory,['']
spase://SMWG/Observatory/WDC/Amberley,Amberley Ground Observatory,Amberley Ground Observatory,Amberley Ground Observatory,['']
spase://SMWG/Observatory/WDC/Anchorage,Anchorage Ground Observatory,Anchorage Ground Observatory,Anchorage Ground Observatory,['']
spase://SMWG/Observatory/WDC/Annamalainagar,Annamalainagar Ground Observatory,Annamalainagar Ground Observatory,Annamalainagar Ground Observatory,['']
spase://SMWG/Observatory/WDC/Antananarivo,Antananarivo Ground Observatory,Antananarivo Ground Observatory,Antananarivo Ground Observatory,['']
spase://SMWG/Observatory/WDC/Apia,Apia Ground Observatory,Apia Ground Observatory,Apia Ground Observatory,['']
spase://SMWG/Observatory/WDC/Arctowski,Arctowski Ground Observatory,Arctowski Ground Observatory,Arctowski Ground Observatory,['']
spase://SMWG/Observatory/WDC/Arkhangelsk,Arkhangelsk Ground Observatory,Arkhangelsk Ground Observatory,Arkhangelsk Ground Observatory,['']
spase://SMWG/Observatory/WDC/Arti,Arti Ground Observatory,Arti Ground Observatory,Arti Ground Observatory,['']
spase://SMWG/Observatory/WDC/Ascension,Ascension Ground Observatory,Ascension Ground Observatory,Ascension Ground Observatory,['']
spase://SMWG/Observatory/WDC/Aso,Aso Ground Observatory,Aso Ground Observatory,Aso Ground Observatory,['']
spase://SMWG/Observatory/WDC/Baguio,Baguio Ground Observatory,Baguio Ground Observatory,Baguio Ground Observatory,['']
spase://SMWG/Observatory/WDC/Baker.Lake,Baker Lake Ground Observatory,Baker Lake Ground Observatory,Baker Lake Ground Observatory,['']
spase://SMWG/Observatory/WDC/Bangui,Bangui Ground Observatory,Bangui Ground Observatory,Bangui Ground Observatory,['']
spase://SMWG/Observatory/WDC/Bar.Gyora,Bar Gyora Ground Observatory,Bar Gyora Ground Observatory,Bar Gyora Ground Observatory,['']
spase://SMWG/Observatory/WDC/Barrow,Barrow Ground Observatory,Barrow Ground Observatory,Barrow Ground Observatory,['']
spase://SMWG/Observatory/WDC/Bay.St.Louis,Bay St. Louis Ground Observatory,Bay St. Louis Ground Observatory,Bay St. Louis Ground Observatory,['']
spase://SMWG/Observatory/WDC/Bear.Island,Bear Island Ground Observatory,Bear Island Ground Observatory,Bear Island Ground Observatory,['']
spase://SMWG/Observatory/WDC/Beijing,Beijing Ground Observatory,Beijing Ground Observatory,Beijing Ground Observatory,['']
spase://SMWG/Observatory/WDC/Beijing.Ming.Tombs,Beijing Ming Tombs Ground Observatory,Beijing Ming Tombs Ground Observatory,Beijing Ming Tombs Ground Observatory,['']
spase://SMWG/Observatory/WDC/Beloit,Beloit Ground Observatory,Beloit Ground Observatory,Beloit Ground Observatory,['']
spase://SMWG/Observatory/WDC/Belsk,Belsk Ground Observatory,Belsk Ground Observatory,Belsk Ground Observatory,['']
spase://SMWG/Observatory/WDC/Bereznyaki,Bereznyaki Ground Observatory,Bereznyaki Ground Observatory,Bereznyaki Ground Observatory,['']
spase://SMWG/Observatory/WDC/Big.Delta,Big Delta Ground Observatory,Big Delta Ground Observatory,Big Delta Ground Observatory,['']
spase://SMWG/Observatory/WDC/Borok,Borok Ground Observatory,Borok Ground Observatory,Borok Ground Observatory,['']
