SPASE_ResourceID,SPASE_ResourceName,HelioData_short_name
spase://SMWG/Observatory/KOMPSAT1,Korean Multi Purpose Satellite (KOMPSAT 1),Korean Multi-Purpose Satellite (KOMPSAT-1)
spase://SMWG/Observatory/LANL,LANL,LANL Spacecraft Series
spase://SMWG/Observatory/LANL/1997,LANL-97A,LANL1997
spase://SMWG/Observatory/LANL/2001,LANL-01A,LANL2001
spase://SMWG/Observatory/LANL/2002,LANL-02sA,LANL2002
spase://SMWG/Observatory/LANL/97A,LANL-97,LANL97A
spase://SMWG/Observatory/Magion-4,Magion 4,Magion-4
spase://SMWG/Observatory/Mariner10,Mariner,Mariner 10
spase://SMWG/Observatory/MarsScienceLaboratory,MSL,"Mars Science Laboratory, MSL"
spase://SMWG/Observatory/MAVEN,MAVEN,Mars Atmosphere and Volatile Evolution
spase://SMWG/Observatory/McMAC/Americus,Mid continent Magnetoseismic Chain (McMAC) Americus Station,Mid-continent Magnetoseismic Chain (McMAC) Americus Station
spase://SMWG/Observatory/McMAC/Bennington,Mid continent Magnetoseismic Chain (McMAC) Bennington Station,Mid-continent Magnetoseismic Chain (McMAC) Bennington Station
spase://SMWG/Observatory/McMAC/Glyndon,Mid continent Magnetoseismic Chain (McMAC) Glyndon Station,Mid-continent Magnetoseismic Chain (McMAC) Glyndon Station
spase://SMWG/Observatory/McMAC/Linares,Mid continent Magnetoseismic Chain (McMAC) Linares Station,Mid-continent Magnetoseismic Chain (McMAC) Linares Station
spase://SMWG/Observatory/McMAC/Lyford,Mid continent Magnetoseismic Chain (McMAC) Lyford Station,Mid-continent Magnetoseismic Chain (McMAC) Lyford Station
spase://SMWG/Observatory/McMAC/Purcell,Mid continent Magnetoseismic Chain (McMAC) Purcell Station,Mid-continent Magnetoseismic Chain (McMAC) Purcell Station
spase://SMWG/Observatory/McMAC/Richardson,Mid continent Magnetoseismic Chain (McMAC) Richardson Station,Mid-continent Magnetoseismic Chain (McMAC) Richardson Station
spase://SMWG/Observatory/McMAC/San.Antonio,Mid continent Magnetoseismic Chain (McMAC) San Antonio Station,Mid-continent Magnetoseismic Chain (McMAC) San Antonio Station
