HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
Chichijima,Chichijima,Observatory Station Code: CBI,['Observatory Station Code: CBI']
CRVR,Clyde River Geophysical Observatory,Clyde River Geophysical Observatory,['']
Coimbra,Coimbra,Observatory Station Code: COI,['Observatory Station Code: COI']
College Geophysical Observatory,College Geophysical Observatory,College Geophysical Observatory,['']
Colville National Forest Geophysical Observatory,Colville National Forest Geophysical Observatory,Colville National Forest Geophysical Observatory,['']
CHBR,Coral Harbour Geophysical Observatory,Observatory Station Code: CHBR,['Observatory Station Code: CHBR']
CTIO,CTIO,CTIO,['']
Dallas,Dallas,Observatory Station Code: DAL,['Observatory Station Code: DAL']
DNB,Daneborg Geophysical Observatory,Daneborg Geophysical Observatory,['']
DMH,Danmarkshavn Geophysical Observatory,Danmarkshavn Geophysical Observatory,['']
Davao,Davao,Observatory Station Code: DAV,['Observatory Station Code: DAV']
De Bilt,De Bilt,Observatory Station Code: DBN,['Observatory Station Code: DBN']
DED,Dead Horse Geophysical Observatory,Dead Horse Geophysical Observatory,['']
GUA,Dededo Geophysical Observatory,Dededo Geophysical Observatory,['']
Del Rio,Del Rio,Observatory Station Code: DLR,['Observatory Station Code: DLR']
DRBY,Derby Geophysical Observatory,Derby Geophysical Observatory,['']
Dikson Geophysical Observatory,Dikson Geophysical Observatory,Dikson Geophysical Observatory,['']
Dombas Geophysical Observatory,Dombas Geophysical Observatory,Dombas Geophysical Observatory,['']
Dome Concordia,Dome Concordia,Observatory Station Code: DMC,['Observatory Station Code: DMC']
Donna Geophysical Observatory,Donna Geophysical Observatory,Donna Geophysical Observatory,['']
Dourbes,Dourbes,Observatory Station Code: DOU,['Observatory Station Code: DOU']
Technical University of Danmark,Technical University of Danmark,DTU,['DTU']
Dumont d'Urville,Dumont d'Urville,Observatory Station Code: DRV,['Observatory Station Code: DRV']
Dusheti,Dusheti,Observatory Station Code: TFS,"['Tblisi', 'Observatory Station Code: TFS']"
Dymer,Dymer,Observatory Station Code: KIV,['Observatory Station Code: KIV']
EAGL,Eagle Geophysical Observatory,Eagle Geophysical Observatory,['']
Easter Island,Easter Island,Observatory Station Code: EIC,['Observatory Station Code: EIC']
Ebro,Ebro,Observatory Station Code: EBR,['Observatory Station Code: EBR']
Eights,Eights,Observatory Station Code: EGS,['Observatory Station Code: EGS']
Eilat,Eilat,Observatory Station Code: ELT,['Observatory Station Code: ELT']
Ekaterinburg,Ekaterinburg,Observatory Station Code: EKT,['Observatory Station Code: EKT']
EKAT,Ekati Geophysical Observatory,Observatory Station Code: EKAT,['Observatory Station Code: EKAT']
Esashi,Esashi,Observatory Station Code: ESA,['Observatory Station Code: ESA']
Eskdalemuir,Eskdalemuir,Observatory Station Code: ESK,['Observatory Station Code: ESK']
Etaiyapuram,Etaiyapuram,Observatory Station Code: ETT,['Observatory Station Code: ETT']
Eyrewell,Eyrewell,Observatory Station Code: EYR,['Observatory Station Code: EYR']
Fanning,Fanning,Observatory Station Code: FAN,['Observatory Station Code: FAN']
Faraday Islands,Faraday Islands,Observatory Station Code: AIA,"['Argentine Island', 'Observatory Station Code: AIA']"
Flin Flon Geophysical Observatory,Flin Flon Geophysical Observatory,Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory,"['Flin Flon Vector Magnetic Field 0.5 s Data Geophysical Observatory', 'Observatory Station Code: TPAS', 'The Pas']"
Fort Churchill Geophysical Observatory,Fort Churchill Geophysical Observatory,Observatory Station Code: FCC,['Observatory Station Code: FCC']
Fort Churchill Geophysical Observatory,Fort Churchill Geophysical Observatory,Observatory Station Code: FCHU,['Observatory Station Code: FCHU']
FTN,Fort Nelson Geophysical Observatory,Observatory Station Code: FTN,['Observatory Station Code: FTN']
Fort Rae,Fort Rae 2,Observatory Station Code: FRA,['Observatory Station Code: FRA']
Fort Simpson Geophysical Observatory,Fort Simpson Geophysical Observatory,Observatory Station Code: FSIM,['Observatory Station Code: FSIM']
Fort Smith Geophysical Observatory,Fort Smith Geophysical Observatory,Observatory Station Code: FSMI,['Observatory Station Code: FSMI']
FSJ,Fort St. John Geophysical Observatory,Observatory Station Code: FSJ,['Observatory Station Code: FSJ']
FYTS,Fort Yates Geophysical Observatory,Observatory Station Code: FYTS,['Observatory Station Code: FYTS']
Fort Yukon Geophysical Observatory,Fort Yukon Geophysical Observatory,Observatory Station Code: FYKN,['Observatory Station Code: FYKN']
Fredericksburg Geophysical Observatory,Fredericksburg Geophysical Observatory,Observatory Station Code: FRD,['Observatory Station Code: FRD']
Freetown,Freetown 2,Observatory Station Code: FTN,['Observatory Station Code: FTN']
Fresno Geophysical Observatory,Fresno Geophysical Observatory,Observatory Station Code: FRN,['Observatory Station Code: FRN']
Fuquene,Fuquene,Observatory Station Code: FUQ,['Observatory Station Code: FUQ']
Furstenfeldbruck,Furstenfeldbruck,Observatory Station Code: FUR,['Observatory Station Code: FUR']
Geoscience Australia,Geoscience Australia,GA,['GA']
Gakona Geophysical Observatory,Gakona Geophysical Observatory,Observatory Station Code: GAKO,['Observatory Station Code: GAKO']
Geomagnetic Data Center Russia Ukraine,Geomagnetic Data Center Russia Ukraine,GCRAS,['GCRAS']
GeoForschungsZentrum,GeoForschungsZentrum ,German Research Centre for Geosciences,"['German Research Centre for Geosciences', 'GFZ']"
Gillam Geophysical Observatory,Gillam Geophysical Observatory,Observatory Station Code: GILL,['Observatory Station Code: GILL']
GIMA,Geophysical Institute Magnetometer Array,GIMA,['GIMA']
GJOA,Gjoa Haven Geophysical Observatory,Observatory Station Code: GJOA,['Observatory Station Code: GJOA']
Glenlea,Glenlea,Observatory Station Code: GLN,['Observatory Station Code: GLN']
GLYN,Glyndon Geophysical Observatory,Observatory Station Code: GLYN,['Observatory Station Code: GLYN']
GMAG,THEMIS-Associated Ground Magnetometer Stations,THEMIS-Associated Ground Magnetometer Stations,['']
Gnangara,Gnangara,Observatory Station Code: GNA,['Observatory Station Code: GNA']
Golmud,Golmud,Observatory Station Code: GLM,['Observatory Station Code: GLM']
GBAY,Goose Bay Geophysical Observatory,Observatory Station Code: GBAY,['Observatory Station Code: GBAY']
Gornotayezhnaya,Gornotayezhnaya,Observatory Station Code: VLA,['Observatory Station Code: VLA']
Grahamstown,Grahamstown,Observatory Station Code: GRM,['Observatory Station Code: GRM']
Great Whale River,Great Whale River,Observatory Station Code: GWC,['Observatory Station Code: GWC']
Grocka,Grocka,Observatory Station Code: GCK,['Observatory Station Code: GCK']
Guam,Guam,Observatory Station Code: GUA,['Observatory Station Code: GUA']
Guangzhou,Guangzhou,Observatory Station Code: GZH,['Observatory Station Code: GZH']
Guimar,Guimar,Observatory Station Code: GUI,['Observatory Station Code: GUI']
Halley Bay,Halley Bay,Observatory Station Code: HBA,['Observatory Station Code: HBA']
Hankasalmi Geophysical Observatory,Hankasalmi Geophysical Observatory,Hankasalmi Geophysical Observatory,['']
HRIS,Harris Geophysical Observatory,Observatory Station Code: HRIS,['Observatory Station Code: HRIS']
Hartebeesthoek,Hartebeesthoek,Observatory Station Code: HBK,['Observatory Station Code: HBK']
Hartland,Hartland,Observatory Station Code: HAD,['Observatory Station Code: HAD']
Hatizyo,Hatizyo,Observatory Station Code: HTY,['Observatory Station Code: HTY']
