HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
Kaliningrad 2,Kaliningrad-2,Kaliningrad-2,"['Kaliningrad-2', 'IAGA:KNG']"
Kamenniyj Mys,Kamenniyj Mys,Kamenniyj.Mys,"['Kamenniyj.Mys', 'IAGA:KAM']"
Kandalaksha,Kandalaksha,Kandalaksha,"['Kandalaksha', 'IAGA:KND']"
Kanoya,Kanoya,IAGA:KNY,"['Kanoya', 'IAGA:KNY']"
Kanozan,Kanozan,IAGA:KNZ,"['Kanozan', 'IAGA:KNZ']"
Kap Tobin,Kap Tobin,Kap.Tobin,"['Kap.Tobin', 'IAGA:KTG']"
Karachi,Karachi,IAGA:KRC,"['Karachi', 'IAGA:KRC']"
Karavia,Karavia,IAGA:KVA,"['Karavia', 'IAGA:KVA']"
Karmakuli,Karmakuli,Karmakuli,"['Karmakuli', 'IAGA:KAR']"
Karsani,Karsani,IAGA:KAS,"['Karsani', 'IAGA:KAS']"
Kashi,Kashi,IAGA:KSH,"['Kashi', 'IAGA:KSH']"
Katuura,Katuura,IAGA:KAT,"['Katuura', 'IAGA:KAT']"
Keetmanshoop,Keetmanshoop,Keetmanshoop,"['Keetmanshoop', 'IAGA:KEE']"
Keles,Keles,IAGA:KEL,"['Keles', 'IAGA:KEL']"
Kem,Kem,IAGA:KEM,"['Kem', 'IAGA:KEM']"
Kerguelen,Kerguelen,Kerguelen,"['Kerguelen', 'IAGA:KGL']"
Kew,Kew,IAGA:KEW,"['Kew', 'IAGA:KEW']"
Key West,Key West,Key.West,"['Key.West', 'IAGA:KWT']"
Khabarovsk,Khabarovsk,Khabarovsk,"['Khabarovsk', 'IAGA:KHB']"
Kharasavey,Kharasavey,Kharasavey,"['Kharasavey', 'IAGA:KHS']"
Kiel,Kiel,IAGA:KIE,"['Kiel', 'IAGA:KIE']"
King George Island,King George Island,King.George.Island,"['King.George.Island', 'IAGA:KGI']"
King Point,King Point,King.Point,"['King.Point', 'IAGA:KPT']"
Kinguafjord,Kinguafjord,Kinguafjord,"['Kinguafjord', 'IAGA:KGF']"
Kiruna,Kiruna,IAGA:KIR,"['Kiruna', 'IAGA:KIR']"
Klagenfurt,Klagenfurt,Klagenfurt,"['Klagenfurt', 'IAGA:KFT']"
Klyuchi,Klyuchi,IAGA:KLY,"['Klyuchi', 'IAGA:KLY']"
Kodaikanal,Kodaikanal,Kodaikanal,"['Kodaikanal', 'IAGA:KOD']"
Kontagora,Kontagora,Kontagora,"['Kontagora', 'IAGA:KNT']"
Korets,Korets,IAGA:KTS,"['Korets', 'IAGA:KTS']"
Koror,Koror,IAGA:KOR,"['Koror', 'IAGA:KOR']"
Kotzebue,Kotzebue,Kotzebue,"['Kotzebue', 'IAGA:KOT']"
Kourou,Kourou,IAGA:KOU,"['Kourou', 'IAGA:KOU']"
Krakau,Krakau,IAGA:CRA,"['Krakau', 'IAGA:CRA']"
Krasnaya Pakhra,Krasnaya Pakhra,Krasnaya.Pakhra,"['Krasnaya.Pakhra', 'IAGA:MOS']"
Kremsmunster,Kremsmunster,Kremsmunster,"['Kremsmunster', 'IAGA:KRE']"
Ksara,Ksara,IAGA:KSA,"['Ksara', 'IAGA:KSA']"
Kuchino,Kuchino,IAGA:KTC,"['Kuchino', 'IAGA:KTC']"
Kumasi,Kumasi,IAGA:KUM,"['Kumasi', 'IAGA:KUM']"
Kupang,Kupang,IAGA:KUP,"['Kupang', 'IAGA:KUP']"
Kuyper,Kuyper,IAGA:KUY,"['Kuyper', 'IAGA:KUY']"
Kwajalein,Kwajalein,Kwajalein,"['Kwajalein', 'IAGA:KWJ']"
Kzil Agach,Kzil-Agach,Kzil-Agach,"['Kzil-Agach', 'IAGA:KZA']"
La Maddalena,La Maddalena,La.Maddalena,"['La.Maddalena', 'IAGA:LMD']"
La Paz,La Paz,IAGA:LPB,"['La.Paz', 'IAGA:LPB']"
La Quiaca,La Quiaca,La.Quiaca,"['La.Quiaca', 'IAGA:LQA']"
Langenberg And Bochum,Langenberg And Bochum,Langenberg.And.Bochum,"['Langenberg.And.Bochum', 'IAGA:BOC']"
Lanzhou,Lanzhou,IAGA:LZH,"['Lanzhou', 'IAGA:LZH']"
L'Aquila,L'Aquila,L'Aquila,"[""L'Aquila"", 'IAGA:AQU']"
Las Acacias,Las Acacias,Las.Acacias,"['Las.Acacias', 'IAGA:LAS']"
Lauder,Lauder,IAGA:LAU,"['Lauder', 'IAGA:LAU']"
Lazarev,Lazarev,IAGA:LZV,"['Lazarev', 'IAGA:LZV']"
Leadville,Leadville,Leadville,"['Leadville', 'IAGA:LDV']"
Learmonth,Learmonth,Learmonth,"['Learmonth', 'IAGA:LRM']"
Leduc,Leduc,IAGA:LED,"['Leduc', 'IAGA:LED']"
LRV,Leirvogur,Leirvogur,"['Leirvogur', 'IAGA:LRV']"
Lerwick,Lerwick,IAGA:LER,"['Lerwick', 'IAGA:LER']"
Lhasa,Lhasa,IAGA:LSA,"['Lhasa', 'IAGA:LSA']"
Lisbon,Lisbon,IAGA:LIS,"['Lisbon', 'IAGA:LIS']"
Little America,Little America,Little.America,"['Little.America', 'IAGA:LAA']"
Livingston Island,Livingston Island,Livingston.Island,"['Livingston.Island', 'IAGA:LIV']"
Logrono,Logrono,IAGA:LGR,"['Logrono', 'IAGA:LGR']"
Lompoc,Lompoc,IAGA:LOC,"['Lompoc', 'IAGA:LOC']"
Loparskaya Murmansk,Loparskaya/Murmansk,Murmansk,"['Murmansk', 'IAGA:MMK']"
Loring AFB,Loring AFB,Loring.AFB,"['Loring.AFB', 'IAGA:LOB']"
Los Angeles,Los Angeles,Los.Angeles,"['Los.Angeles', 'IAGA:LOS']"
Lourenco Marques,Lourenco Marques,Lourenco.Marques,"['Lourenco.Marques', 'IAGA:LMM']"
Lovo,Lovo,IAGA:LOV,"['Lovo', 'IAGA:LOV']"
LOZ,Lovozero,Lovozero,"['Lovozero', 'IAGA:LOZ']"
Luanda,Luanda,IAGA:LUA,"['Luanda', 'IAGA:LUA']"
Lubeck,Lubeck,IAGA:LUB,"['Lubeck', 'IAGA:LUB']"
LUC,Lucky Lake,Lucky.Lake,"['Lucky.Lake', 'IAGA:LUC']"
Lukiapang 1,Lukiapang-1,Lukiapang-1,"['Lukiapang-1', 'IAGA:LKP']"
Lukiapang 2,Lukiapang-2,Lukiapang-2,"['Lukiapang-2', 'IAGA:LUK']"
Lunping,Lunping,IAGA:LNP,"['Lunping', 'IAGA:LNP']"
Lvov,Lvov,IAGA:LVV,"['Lvov', 'IAGA:LVV']"
Lwiro,Lwiro,IAGA:LWI,"['Lwiro', 'IAGA:LWI']"
Lynn Lake,Lynn Lake,Lynn.Lake,"['Lynn.Lake', 'IAGA:LYN']"
Macquarie Island,Macquarie Island,Macquarie.Island,"['Macquarie.Island', 'IAGA:MCQ']"
Madras,Madras,IAGA:MDS,"['Madras', 'IAGA:MDS']"
Madrid,Madrid,IAGA:MDD,"['Madrid', 'IAGA:MDD']"
Magadan,Magadan,IAGA:MGD,"['Magadan', 'IAGA:MGD']"
Magallanes,Magallanes,Magallanes,"['Magallanes', 'IAGA:MGS']"
Maisach 1,Maisach-1,Maisach-1,"['Maisach-1', 'IAGA:MAS']"
Maisach 2,Maisach-2,Maisach-2,"['Maisach-2', 'IAGA:MSC']"
Maitun Vladivostok,Maitun/Vladivostok,Vladivostok,"['Vladivostok', 'IAGA:MAI']"
Majuro,Majuro,IAGA:MJR,"['Majuro', 'IAGA:MJR']"
Makerstoun,Makerstoun,Makerstoun,"['Makerstoun', 'IAGA:MAK']"
Malyye Karmakuly,Malyye Karmakuly,Malyye.Karmakuly,"['Malyye.Karmakuly', 'IAGA:MKL']"
Manado,Manado,IAGA:MND,"['Manado', 'IAGA:MND']"
Manhay,Manhay,IAGA:MAB,"['Manhay', 'IAGA:MAB']"
Manila,Manila,IAGA:MAN,"['Manila', 'IAGA:MAN']"
Manzhouli,Manzhouli,Manzhouli,"['Manzhouli', 'IAGA:MZL']"
Marion Island,Marion Island,Marion.Island,"['Marion.Island', 'IAGA:MRN']"
Martin De Vivies,Martin De Vivies,Martin.De.Vivies,"['Martin.De.Vivies', 'IAGA:AMS']"
Matochkin Shar,Matochkin Shar,Matochkin.Shar,"['Matochkin.Shar', 'IAGA:MSR']"
Mauritius,Mauritius,Mauritius,"['Mauritius', 'IAGA:MRI']"
Mawson,Mawson,IAGA:MAW,"['Mawson', 'IAGA:MAW']"
MBour,MBour,IAGA:MBO,"['MBour', 'IAGA:MBO']"
Mcmath Hulbert,Mcmath-Hulbert,Mcmath-Hulbert,"['Mcmath-Hulbert', 'IAGA:MMH']"
Mcmurdo,Mcmurdo,IAGA:MCM,"['Mcmurdo', 'IAGA:MCM']"
MEA,Meanook,IAGA:MEA,"['Meanook', 'IAGA:MEA']"
Melbourne,Melbourne,Melbourne,"['Melbourne', 'IAGA:MEL']"
Melville AFB,Melville AFB,Melville.AFB,"['Melville.AFB', 'IAGA:MEV']"
Memambetsu,Memambetsu,Memambetsu,"['Memambetsu', 'IAGA:MMB']"
Mexico City,Mexico City,Mexico.City,"['Mexico.City', 'IAGA:MEX']"
Midway 1,Midway-1,Midway-1,"['Midway-1', 'IAGA:MDY']"
Midway 2,Midway-2,Midway-2,"['Midway-2', 'IAGA:MID']"
Mikolow,Mikolow,IAGA:BMK,"['Mikolow', 'IAGA:BMK']"
Minamitory Shima,Minamitory Shima,Minamitory.Shima,"['Minamitory.Shima', 'IAGA:MIN']"
Minneapolis,Minneapolis,Minneapolis,"['Minneapolis', 'IAGA:MNN']"
Minsk Pleshenitzi,Minsk/Pleshenitzi,Pleshenitzi,"['Pleshenitzi', 'IAGA:MNK']"
Mirny,Mirny,IAGA:MIR,"['Mirny', 'IAGA:MIR']"
Misallat,Misallat,Misallat,"['Misallat', 'IAGA:MLT']"
Miyazu,Miyazu,IAGA:MIU,"['Miyazu', 'IAGA:MIU']"
Mizuho,Mizuho,IAGA:MIO,"['Mizuho', 'IAGA:MIO']"
Mizusawa,Mizusawa,Mizusawa,"['Mizusawa', 'IAGA:MIZ']"
Mo He,Mo He,IAGA:MOH,"['Mo.He', 'IAGA:MOH']"
Moca,Moca,IAGA:MFP,"['Moca', 'IAGA:MFP']"
Modiim,Modiim,IAGA:MOD,"['Modiim', 'IAGA:MOD']"
Mogadiscio,Mogadiscio,Mogadiscio,"['Mogadiscio', 'IAGA:MOG']"
Molodezhnaya,Molodezhnaya,Molodezhnaya,"['Molodezhnaya', 'IAGA:MOL']"
Moskva,Moskva,IAGA:MSK,"['Moskva', 'IAGA:MSK']"
Mould Bay,Mould Bay,Mould.Bay,"['Mould.Bay', 'IAGA:MBC']"
Mount Weather,Mount Weather,Mount.Weather,"['Mount.Weather', 'IAGA:MWR']"
Mt Clemens,Mt Clemens,Mt.Clemens,"['Mt.Clemens', 'IAGA:MCL']"
Mt Wilson,Mt Wilson,Mt.Wilson,"['Mt.Wilson', 'IAGA:MWC']"
Munchen,Munchen,IAGA:MNH,"['Munchen', 'IAGA:MNH']"
Muntinlupa,Muntinlupa,Muntinlupa,"['Muntinlupa', 'IAGA:MUT']"
Murchison Bay,Murchison Bay,Murchison.Bay,"['Murchison.Bay', 'IAGA:MUB']"
Murmansk,Murmansk,Murmansk,"['Murmansk', 'IAGA:MRM']"
Nagpur,Nagpur,IAGA:NGP,"['Nagpur', 'IAGA:NGP']"
Nagycenk,Nagycenk,Nagycenk,"['Nagycenk', 'IAGA:NCK']"
Nairobi,Nairobi,IAGA:NAI,"['Nairobi', 'IAGA:NAI']"
Nampula,Nampula,IAGA:NMP,"['Nampula', 'IAGA:NMP']"
Nanortalik,Nanortalik,Nanortalik,"['Nanortalik', 'IAGA:NNT']"
Nantes,Nantes,IAGA:NTS,"['Nantes', 'IAGA:NTS']"
Narssarssuaq,Narssarssuaq,Narssarssuaq,"['Narssarssuaq', 'IAGA:NAQ']"
Nerchinsk,Nerchinsk,Nerchinsk,"['Nerchinsk', 'IAGA:NER']"
Neufahrwasser,Neufahrwasser,Neufahrwasser,"['Neufahrwasser', 'IAGA:NFW']"
Neumayer Station III,Neumayer Station III,IAGA:VNA,"['VNA', 'IAGA:VNA']"
New Alesund,New Alesund,New.Alesund,"['New.Alesund', 'IAGA:NAL']"
New Year Island,New Year Island,New.Year.Island,"['New.Year.Island', 'IAGA:NYI']"
Newport,Newport,IAGA:NEW,"['Newport', 'IAGA:NEW']"
Nice,Nice,IAGA:NCE,"['Nice', 'IAGA:NCE']"
Nida,Nida,IAGA:NDA,"['Nida', 'IAGA:NDA']"
Niemegk,Niemegk,IAGA:NGK,"['Niemegk', 'IAGA:NGK']"
Nitsanim,Nitsanim,Nitsanim,"['Nitsanim', 'IAGA:NSM']"
Nizhnedevitsk,Nizhnedevitsk,Nizhnedevitsk,"['Nizhnedevitsk', 'IAGA:NNV']"
NRD,Nord,IAGA:NRD,"['Nord', 'IAGA:NRD']"
Norilsk,Norilsk,IAGA:NOK,"['Norilsk', 'IAGA:NOK']"
Norman Wells,Norman Wells,Norman.Wells,"['Norman.Wells', 'IAGA:NOW']"
North Pole 10,North Pole 10,North.Pole.10,"['North.Pole.10', 'IAGA:NPJ']"
North Pole 12,North Pole 12,North.Pole.12,"['North.Pole.12', 'IAGA:NPL']"
North Pole 13,North Pole 13,North.Pole.13,"['North.Pole.13', 'IAGA:NPM']"
North Pole 6,North Pole 6,North.Pole.6,"['North.Pole.6', 'IAGA:NPF']"
North Pole 7,North Pole 7,North.Pole.7,"['North.Pole.7', 'IAGA:NPG']"
North Pole 8,North Pole 8,North.Pole.8,"['North.Pole.8', 'IAGA:NPH']"
Northway,Northway,Northway,"['Northway', 'IAGA:NRW']"
Norway House,Norway House,Norway.House,"['Norway.House', 'IAGA:NHO']"
Norway Station,Norway Station,Norway.Station,"['Norway.Station', 'IAGA:NWS']"
Novokazalinsk,Novokazalinsk,Novokazalinsk,"['Novokazalinsk', 'IAGA:NKK']"
Novolazarevskaya,Novolazarevskaya,Novolazarevskaya,"['Novolazarevskaya', 'IAGA:NVL']"
Novosibirsk,Novosibirsk,Novosibirsk,"['Novosibirsk', 'IAGA:NVS']"
Numto,Numto,IAGA:NMT,"['Numto', 'IAGA:NMT']"
NUR,Nurmijarvi,Nurmijarvi,"['Nurmijarvi', 'IAGA:NUR']"
Oasis,Oasis,IAGA:OAS,"['Oasis', 'IAGA:OAS']"
Odessa,Odessa,IAGA:ODA,"['Odessa', 'IAGA:ODA']"
O'Gyalia,O'Gyalia,O'Gyalia,"[""O'Gyalia"", 'IAGA:OGY']"
Okinawa,Okinawa,IAGA:OKN,"['Okinawa', 'IAGA:OKN']"
Onagawa,Onagawa,IAGA:ONW,"['Onagawa', 'IAGA:ONW']"
Orange Bay,Orange Bay,Orange.Bay,"['Orange.Bay', 'IAGA:ORB']"
Orcadas Del Sur,Orcadas Del Sur,Orcadas.Del.Sur,"['Orcadas.Del.Sur', 'IAGA:ORC']"
Oslo,Oslo,IAGA:OSL,"['Oslo', 'IAGA:OSL']"
Otomari,Otomari,IAGA:OTM,"['Otomari', 'IAGA:OTM']"
OTT,Ottawa,IAGA:OTT,"['Ottawa', 'IAGA:OTT']"
OUL,Oulujarvi,Oulujarvi,"['Oulujarvi', 'IAGA:OUL']"
Palau,Palau,IAGA:PLA,"['Palau', 'IAGA:PLA']"
Palmyra Island,Palmyra Island,Palmyra.Island,"['Palmyra.Island', 'IAGA:PAI']"
Panagyurishte,Panagyurishte,Panagyurishte,"['Panagyurishte', 'IAGA:PAG']"
Papeete,Papeete,IAGA:PPT,"['Papeete', 'IAGA:PPT']"
Paramaribo,Paramaribo,Paramaribo,"['Paramaribo', 'IAGA:PAB']"
Paratunka Petropavlovsk,Paratunka/Petropavlovsk,Petropavlovsk,"['Petropavlovsk', 'IAGA:PET']"
Patacamaya,Patacamaya,Patacamaya,"['Patacamaya', 'IAGA:PTY']"
Patrick,Patrick,IAGA:PAT,"['Patrick', 'IAGA:PAT']"
Patrony Irkoutsk,Patrony/Irkoutsk,Irkoutsk,"['Irkoutsk', 'IAGA:IRT']"
Pebek,Pebek,IAGA:PBK,"['Pebek', 'IAGA:PBK']"
Pedeli,Pedeli,IAGA:PEG,"['Pedeli', 'IAGA:PEG']"
Peking,Peking 1,Peking.1,"['Peking.1', 'IAGA:PEK']"
Penang,Penang,IAGA:PNN,"['Penang', 'IAGA:PNN']"
Perpignan,Perpignan,Perpignan,"['Perpignan', 'IAGA:PER']"
Petsamo,Petsamo,IAGA:PTS,"['Petsamo', 'IAGA:PTS']"
Philadelphia,Philadelphia,Philadelphia,"['Philadelphia', 'IAGA:PGC']"
Phutuy,Phutuy,IAGA:PHU,"['Phutuy', 'IAGA:PHU']"
Pilar,Pilar,IAGA:PIL,"['Pilar', 'IAGA:PIL']"
Pionerskaya,Pionerskaya,Pionerskaya,"['Pionerskaya', 'IAGA:PIO']"
Pitlekaya,Pitlekaya,Pitlekaya,"['Pitlekaya', 'IAGA:PTL']"
Plaisance,Plaisance,Plaisance,"['Plaisance', 'IAGA:PLS']"
Plateau,Plateau,IAGA:PTU,"['Plateau', 'IAGA:PTU']"
Podkamenaya Tunguska,Podkamenaya Tunguska,Podkamenaya.Tunguska,"['Podkamenaya.Tunguska', 'IAGA:POD']"
POK,Poker Flat,Poker.Flat,"['Poker.Flat', 'IAGA:POK']"
Pola,Pola,IAGA:POL,"['Pola', 'IAGA:POL']"
Pondicherry,Pondicherry,Pondicherry,"['Pondicherry', 'IAGA:PND']"
Port Aux Francais,Port Aux Francais,Port.Aux.Francais,"['Port.Aux.Francais', 'IAGA:PAF']"
Port Foulke,Port Foulke,Port.Foulke,"['Port.Foulke', 'IAGA:PFK']"
Port Jeanne D'Arc,Port Jeanne D'Arc,Port.Jeanne.D'Arc,"[""Port.Jeanne.D'Arc"", 'IAGA:PJA']"
Port Moresby,Port Moresby,Port.Moresby,"['Port.Moresby', 'IAGA:PMG']"
Port Stanley,Port Stanley,Port.Stanley,"['Port.Stanley', 'IAGA:PST']"
Poste De La Baleine,Poste De La Baleine,Poste.De.La.Baleine,"['Poste.De.La.Baleine', 'IAGA:PBQ']"
Potsdam,Potsdam,IAGA:POT,"['Potsdam', 'IAGA:POT']"
Prague,Prague,IAGA:PRA,"['Prague', 'IAGA:PRA']"
Preobrazhenia,Preobrazhenia,Preobrazhenia,"['Preobrazhenia', 'IAGA:PRE']"
Price,Price,IAGA:PCU,"['Price', 'IAGA:PCU']"
Pruhonice,Pruhonice,Pruhonice,"['Pruhonice', 'IAGA:PRU']"
Qianling,Qianling,Qianling,"['Qianling', 'IAGA:QIX']"
Qiongzhong,Qiongzhong,Qiongzhong,"['Qiongzhong', 'IAGA:QGZ']"
Qsaybeh,Qsaybeh,IAGA:QSB,"['Qsaybeh', 'IAGA:QSB']"
Quanzhou,Quanzhou,Quanzhou,"['Quanzhou', 'IAGA:QZH']"
Quetta,Quetta,IAGA:QUE,"['Quetta', 'IAGA:QUE']"
Raciborg,Raciborg,Raciborg,"['Raciborg', 'IAGA:RAC']"
RIT,Rankin Inlet,Rankin.Inlet,"['Rankin.Inlet', 'IAGA:RIT']"
Rapid City,Rapid City,Rapid.City,"['Rapid.City', 'IAGA:RPC']"
Refuge Harbour,Refuge Harbour,Refuge.Harbour,"['Refuge.Harbour', 'IAGA:RFH']"
Regensberg,Regensberg,Regensberg,"['Regensberg', 'IAGA:REG']"
Resolute Bay,Resolute Bay,Resolute.Bay,"['Resolute.Bay', 'IAGA:RES']"
Rio De Janeiro,Rio De Janeiro,Rio.De.Janeiro,"['Rio.De.Janeiro', 'IAGA:RDJ']"
Roburent,Roburent,Roburent,"['Roburent', 'IAGA:ROB']"
Roi Baudouin,Roi Baudouin,Roi.Baudouin,"['Roi.Baudouin', 'IAGA:RBD']"
Rostock,Rostock,IAGA:ROK,"['Rostock', 'IAGA:ROK']"
Rostov On Don,Rostov On Don,Rostov.On.Don,"['Rostov.On.Don', 'IAGA:ROD']"
Rude Skov,Rude Skov,Rude.Skov,"['Rude.Skov', 'IAGA:RSV']"
Rybachy,Rybachy,IAGA:RYB,"['Rybachy', 'IAGA:RYB']"
S Cruz De Tenerife Las Mesas,S Cruz De Tenerife/Las Mesas,Las.Mesas,"['Las.Mesas', 'IAGA:TEN']"
Sabhawala,Sabhawala,Sabhawala,"['Sabhawala', 'IAGA:SAB']"
Sable Island,Sable Island,Sable.Island,"['Sable.Island', 'IAGA:SBL']"
Sachs Harbour,Sachs Harbour,Sachs.Harbour,"['Sachs.Harbour', 'IAGA:SAH']"
Sagastyr,Sagastyr,Sagastyr,"['Sagastyr', 'IAGA:SAG']"
Saint Maur,Saint Maur,Saint.Maur,"['Saint.Maur', 'IAGA:PSM']"
San Fernando,San Fernando,San.Fernando,"['San.Fernando', 'IAGA:SFS']"
San Jose Dos Campos,San Jose Dos Campos,San.Jose.Dos.Campos,"['San.Jose.Dos.Campos', 'IAGA:SJB']"
San Jose Las Lajas,San Jose Las Lajas,San.Jose.Las.Lajas,"['San.Jose.Las.Lajas', 'IAGA:SJL']"
San Juan 1 2 3,San Juan 1-2-3,San.Juan.1-2-3,"['San.Juan.1-2-3', 'IAGA:SJG']"
San Miguel,San Miguel,San.Miguel,"['San.Miguel', 'IAGA:SMG']"
San Pablo De Los Montes,San Pablo De Los Montes,San.Pablo.De.Los.Montes,"['San.Pablo.De.Los.Montes', 'IAGA:SPT']"
Sanae,Sanae,IAGA:SNA,"['Sanae', 'IAGA:SNA']"
Santiago,Santiago,Santiago,"['Santiago', 'IAGA:SNT']"
Sanya,Sanya,IAGA:SAN,"['Sanya', 'IAGA:SAN']"
Saskatoon,Saskatoon,Saskatoon,"['Saskatoon', 'IAGA:SAS']"
Scoresby Sund,Scoresby Sund,Scoresby.Sund,"['Scoresby.Sund', 'IAGA:SCO']"
Scott Base,Scott Base,Scott.Base,"['Scott.Base', 'IAGA:SBA']"
Sdr Stromfjord,Sdr Stromfjord,Sdr.Stromfjord,"['Sdr.Stromfjord', 'IAGA:STF']"
Seddin,Seddin,IAGA:SED,"['Seddin', 'IAGA:SED']"
Seoul,Seoul,IAGA:SEO,"['Seoul', 'IAGA:SEO']"
Seykha,Seykha,IAGA:SEY,"['Seykha', 'IAGA:SEY']"
Shatsk,Shatsk,IAGA:SHT,"['Shatsk', 'IAGA:SHT']"
She Shan,She-Shan,She-Shan,"['She-Shan', 'IAGA:SSH']"
Shepherd Bay,Shepherd Bay,Shepherd.Bay,"['Shepherd.Bay', 'IAGA:SHB']"
Shillong,Shillong,Shillong,"['Shillong', 'IAGA:SHL']"
SHU,Shumagin,Shumagin,"['Shumagin', 'IAGA:SHU']"
Sidmouth,Sidmouth,Sidmouth,"['Sidmouth', 'IAGA:SDH']"
Silchar,Silchar,IAGA:SIL,"['Silchar', 'IAGA:SIL']"
Simferopol,Simferopol,Simferopol,"['Simferopol', 'IAGA:SIM']"
Simosato,Simosato,Simosato,"['Simosato', 'IAGA:SSO']"
Singapore,Singapore,Singapore,"['Singapore', 'IAGA:SIN']"
Siple,Siple,IAGA:SPL,"['Siple', 'IAGA:SPL']"
SIT,Sitka,IAGA:SIT,"['Sitka', 'IAGA:SIT']"
Slutsk,Slutsk,IAGA:SLU,"['Slutsk', 'IAGA:SLU']"
Sodankyla,Sodankyla,Sodankyla,"['Sodankyla', 'IAGA:SOD']"
Sogra,Sogra,IAGA:SOG,"['Sogra', 'IAGA:SOG']"
Sonmiani,Sonmiani,Sonmiani,"['Sonmiani', 'IAGA:SON']"
Soroa,Soroa,IAGA:SOR,"['Soroa', 'IAGA:SOR']"
South Georgia,South Georgia,South.Georgia,"['South.Georgia', 'IAGA:SGE']"
South Pole,South Pole,South.Pole,"['South.Pole', 'IAGA:SPA']"
South Uist,South Uist,South.Uist,"['South.Uist', 'IAGA:SOU']"
Spitsbergen,Spitsbergen,Spitsbergen,"['Spitsbergen', 'IAGA:SPB']"
Srednikan,Srednikan,Srednikan,"['Srednikan', 'IAGA:SRE']"
Srobarova,Srobarova,Srobarova,"['Srobarova', 'IAGA:SRO']"
St Helier,St Helier,St.Helier,"['St.Helier', 'IAGA:STH']"
STJ,St. John's,St.John's,"[""St.John's"", 'IAGA:STJ']"
St. Petersburg,St. Petersburg,St..Petersburg,"['St..Petersburg', 'IAGA:SPE']"
Stepanovka,Stepanovka,Stepanovka,"['Stepanovka', 'IAGA:ODE']"
Stettin Zabelsdorf,Stettin-Zabelsdorf,Stettin-Zabelsdorf,"['Stettin-Zabelsdorf', 'IAGA:SZA']"
Stonyhurst,Stonyhurst,Stonyhurst,"['Stonyhurst', 'IAGA:STO']"
Sudbury,Sudbury,IAGA:SUB,"['Sudbury', 'IAGA:SUB']"
Sukkertoppen,Sukkertoppen,Sukkertoppen,"['Sukkertoppen', 'IAGA:SKT']"
Surlari,Surlari,IAGA:SUA,"['Surlari', 'IAGA:SUA']"
Sveagruva,Sveagruva,Sveagruva,"['Sveagruva', 'IAGA:SVG']"
Sverdlovsk Yekaterinburg,Sverdlovsk/Yekaterinburg,Yekaterinburg,"['Yekaterinburg', 'IAGA:SVE']"
Swider,Swider,IAGA:SWI,"['Swider', 'IAGA:SWI']"
Sydney,Sydney,IAGA:SYD,"['Sydney', 'IAGA:SYD']"
Syowa Base,Syowa Base,Syowa.Base,"['Syowa.Base', 'IAGA:SYO']"
Tacubaya,Tacubaya,Tacubaya,"['Tacubaya', 'IAGA:TAC']"
Tahiti,Tahiti,IAGA:TAH,"['Tahiti', 'IAGA:TAH']"
Taipei Taihoku,Taipei/Taihoku,IAGA:TAP,"['Taihoku', 'IAGA:TAP']"
Talara,Talara,IAGA:TAL,"['Talara', 'IAGA:TAL']"
Talkeetna,Talkeetna,Talkeetna,"['Talkeetna', 'IAGA:TLK']"
Tamanrasset,Tamanrasset,Tamanrasset,"['Tamanrasset', 'IAGA:TAM']"
Tambey,Tambey,IAGA:TMB,"['Tambey', 'IAGA:TMB']"
Tampa,Tampa,IAGA:TPA,"['Tampa', 'IAGA:TPA']"
Tangerang,Tangerang,Tangerang,"['Tangerang', 'IAGA:TNG']"
Tashkent 1,Tashkent-1,Tashkent-1,"['Tashkent-1', 'IAGA:TAS']"
Tashkent 2 Yangi Bazar,Tashkent-2/Yangi-Bazar,Yangi-Bazar,"['Yangi-Bazar', 'IAGA:TKT']"
Tasiusak,Tasiusak,Tasiusak,"['Tasiusak', 'IAGA:TSK']"
Tate's Cairn,Tate's Cairn,Tate's.Cairn,"[""Tate's.Cairn"", 'IAGA:TCN']"
Tatuoca,Tatuoca,IAGA:TTB,"['Tatuoca', 'IAGA:TTB']"
Teheran,Teheran,IAGA:TEH,"['Teheran', 'IAGA:TEH']"
Tellnitz,Tellnitz,Tellnitz,"['Tellnitz', 'IAGA:TEL']"
Teoloyucan,Teoloyucan,Teoloyucan,"['Teoloyucan', 'IAGA:TEO']"
Teplitz Bay,Teplitz Bay,Teplitz.Bay,"['Teplitz.Bay', 'IAGA:TPB']"
Terra Nova Bay,Terra Nova Bay,Terra.Nova.Bay,"['Terra.Nova.Bay', 'IAGA:TNB']"
Terre Adelie,Terre Adelie,Terre.Adelie,"['Terre.Adelie', 'IAGA:TAA']"
Tevriz,Tevriz,IAGA:TEV,"['Tevriz', 'IAGA:TEV']"
Thompson,Thompson,Thompson,"['Thompson', 'IAGA:TMP']"
Thule 1 Dundas,Thule 1/Dundas,IAGA:THD,"['Dundas', 'IAGA:THD']"
Thule 2 Camp Tuto,Thule-2/Camp Tuto,Camp.Tuto,"['Camp.Tuto', 'IAGA:THU']"
Thule 3 Qanaq,Thule-3/Qanaq,IAGA:THL,"['Qanaq', 'IAGA:THL']"
Tiflis,Tiflis,IAGA:TIF,"['Tiflis', 'IAGA:TIF']"
