HelioData_long_name,SPASE_AlternateName
Observatory Station Code: LRES,['Observatory Station Code: LRES']
Observatory Station Code: LAA,['Observatory Station Code: LAA']
Observatory Station Code: LIV,['Observatory Station Code: LIV']
Observatory Station Code: LGR,['Observatory Station Code: LGR']
Observatory Station Code: LYR,['Observatory Station Code: LYR']
Observatory Station Code: MMK,['Observatory Station Code: MMK']
Observatory Station Code: LOV,['Observatory Station Code: LOV']
Observatory Station Code: LOZ,['Observatory Station Code: LOZ']
Observatory Station Code: LOYS,['Observatory Station Code: LOYS']
Observatory Station Code: LUA,['Observatory Station Code: LUA']
Observatory Station Code: LCL,['Observatory Station Code: LCL']
Observatory Station Code: LNP,['Observatory Station Code: LNP']
Observatory Station Code: LVV,['Observatory Station Code: LVV']
Observatory Station Code: LWI,['Observatory Station Code: LWI']
Observatory Station Code: LYC,['Observatory Station Code: LYC']
Observatory Station Code: LYFD,['Observatory Station Code: LYFD']
MACCS,['MACCS']
Observatory Station Code: MAB,['Observatory Station Code: MAB']
Observatory Station Code: SKT,['Observatory Station Code: SKT']
Observatory Station Code: MZL,['Observatory Station Code: MZL']
Observatory Station Code: LMM,['Observatory Station Code: LMM']
Observatory Station Code: MRN,['Observatory Station Code: MRN']
Observatory Station Code: AMS,['Observatory Station Code: AMS']
Observatory Station Code: MAS,['Observatory Station Code: MAS']
Mauna Loa Solar Observatory,['Mauna Loa Solar Observatory']
Observatory Station Code: MBO,['Observatory Station Code: MBO']
Observatory Station Code: MCGR,['Observatory Station Code: MCGR']
"Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain","['Mid-continent Magnetoseismic Chain, McMAC, Observatory Chain']"
Observatory Station Code: MEA,['Observatory Station Code: MEA']
Observatory Station Code: MEK,['Observatory Station Code: MEK']
Observatory Station Code: MMB,['Observatory Station Code: MMB']
Observatory Station Code: MID,['Observatory Station Code: MID']
Observatory Station Code: MIR,['Observatory Station Code: MIR']
Observatory Station Code: MLT,['Observatory Station Code: MLT']
Observatory Station Code: MIZ,['Observatory Station Code: MIZ']
Observatory Station Code: MFP,['Observatory Station Code: MFP']
Observatory Station Code: MOL,['Observatory Station Code: MOL']
Observatory Station Code: MCP,['Observatory Station Code: MCP']
Observatory Station Code: MBC,['Observatory Station Code: MBC']
Observatory Station Code: MUT,['Observatory Station Code: MUT']
Observatory Station Code: Muo,['Observatory Station Code: Muo']
Observatory Station Code: MUB,['Observatory Station Code: MUB']
Near Conjugate Northern Auroral Electrojet Index,['Near Conjugate Northern Auroral Electrojet Index']
Observatory Station Code: NGP,['Observatory Station Code: NGP']
Observatory Station Code: NCK,['Observatory Station Code: NCK']
Observatory Station Code: NAIN,['Observatory Station Code: NAIN']
Observatory Station Code: NAI,['Observatory Station Code: NAI']
Observatory Station Code: NMP,['Observatory Station Code: NMP']
Observatory Station Code: NRSQ,['Observatory Station Code: NRSQ']
Observatory Station Code: BSL,['Observatory Station Code: BSL']
Observatory Station Code: VNA,['Observatory Station Code: VNA']
Observatory Station Code: NEW,['Observatory Station Code: NEW']
Observatory Station Code: NGK,['Observatory Station Code: NGK']
Observatory Station Code: NRD,['Observatory Station Code: NRD']
Observatory Station Code: NOR,['Observatory Station Code: NOR']
Observatory Station Code: NWS,['Observatory Station Code: NWS']
Observatory Station Code: NKK,['Observatory Station Code: NKK']
Observatory Station Code: NVL,['Observatory Station Code: NVL']
Observatory Station Code: NVS,"['Observatory Station Code: NVS', 'Klyuchi']"
Observatory Station Code: NUR,['Observatory Station Code: NUR']
Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Godthap Vector Magnetic Field 1.0 min Data Geophysical Observatory', 'Observatory Station Code: GHB']"
Observatory Station Code: NAL,['Observatory Station Code: NAL']
Observatory Station Code: NAL,['Observatory Station Code: NAL']
Observatory Station Code: OAS,['Observatory Station Code: OAS']
Observatory Station Code: OTT,['Observatory Station Code: OTT']
Observatory Station Code: OUJ,['Observatory Station Code: OUJ']
Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory,"['Frederikshap Vector Magnetic Field 1.0 min Data Geophysical Observatory', 'Observatory Station Code: FHB']"
Observatory Station Code: PPT,"['Observatory Station Code: PPT', 'Papeete']"
Observatory Station Code: PAG,['Observatory Station Code: PAG']
Observatory Station Code: PANG,['Observatory Station Code: PANG']
Observatory Station Code: PAB,['Observatory Station Code: PAB']
Observatory Station Code: PET,"['Observatory Station Code: PET', 'Petropavlovsk']"
Observatory Station Code: PSM,['Observatory Station Code: PSM']
Observatory Station Code: PKS,['Observatory Station Code: PKS']
Observatory Station Code: IRT,['Observatory Station Code: IRT']
Observatory Station Code: PEG,"['Observatory Station Code: PEG', 'Penteli']"
Observatory Station Code: PEL,['Observatory Station Code: PEL']
Observatory Station Code: PEB,['Observatory Station Code: PEB']
Polar Experimental Network for Geospace Upper atmosphere Investigations,['Polar Experimental Network for Geospace Upper atmosphere Investigations']
Observatory Station Code: PG0,['Observatory Station Code: PG0']
Observatory Station Code: PG1,['Observatory Station Code: PG1']
Observatory Station Code: PG2,['Observatory Station Code: PG2']
Observatory Station Code: PG3,['Observatory Station Code: PG3']
Observatory Station Code: PG4,['Observatory Station Code: PG4']
Observatory Station Code: PG5,['Observatory Station Code: PG5']
Observatory Station Code: PTRS,['Observatory Station Code: PTRS']
Observatory Station Code: PBK,['Observatory Station Code: PBK']
Observatory Station Code: PHU,['Observatory Station Code: PHU']
Observatory Station Code: PIL,['Observatory Station Code: PIL']
Observatory Station Code: PINA,['Observatory Station Code: PINA']
Observatory Station Code: PINE,['Observatory Station Code: PINE']
Observatory Station Code: PIO,['Observatory Station Code: PIO']
Observatory Station Code: PTU,['Observatory Station Code: PTU']
Observatory Station Code: MNK,"['Observatory Station Code: MNK', 'Minsk']"
Observatory Station Code: POD,['Observatory Station Code: POD']
Observatory Station Code: POKR,['Observatory Station Code: POKR']
Observatory Station Code: PND,['Observatory Station Code: PND']
Observatory Station Code: CZT,['Observatory Station Code: CZT']
Observatory Station Code: PAF,['Observatory Station Code: PAF']
Observatory Station Code: PST,['Observatory Station Code: PST']
Observatory Station Code: PBQ,['Observatory Station Code: PBQ']
Observatory Station Code: PCU,['Observatory Station Code: PCU']
Observatory Station Code: ROTH,['Observatory Station Code: ROTH']
Observatory Station Code: PGEO,['Observatory Station Code: PGEO']
Observatory Station Code: PRU,['Observatory Station Code: PRU']
Observatory Station Code: PBLO,['Observatory Station Code: PBLO']
Observatory Station Code: PCEL,['Observatory Station Code: PCEL']
Observatory Station Code: PUVR,['Observatory Station Code: PUVR']
Observatory Station Code: THL,"['Observatory Station Code: THL', 'Thule Geophysical Observatory']"
Godhavn Geophysical Observatory,"['Godhavn Geophysical Observatory', 'Observatory Station Code: GDH']"
Observatory Station Code: QIX,['Observatory Station Code: QIX']
Observatory Station Code: QGZ,['Observatory Station Code: QGZ']
Observatory Station Code: QSB,['Observatory Station Code: QSB']
Observatory Station Code: QZH,['Observatory Station Code: QZH']
Observatory Station Code: QUE,['Observatory Station Code: QUE']
Radisson Geophysical Observatory,['Radisson Geophysical Observatory']
RAM,['RAM']
Observatory Station Code: RANK,['Observatory Station Code: RANK']
Observatory Station Code: RAN,['Observatory Station Code: RAN']
Observatory Station Code: REDR,['Observatory Station Code: REDR']
Observatory Station Code: RMUS,['Observatory Station Code: RMUS']
Observatory Station Code: RBAY,['Observatory Station Code: RBAY']
Observatory Station Code: RES,['Observatory Station Code: RES']
Observatory Station Code: RICH,['Observatory Station Code: RICH']
Observatory Station Code: ROB,['Observatory Station Code: ROB']
Observatory Station Code: ROE,['Observatory Station Code: ROE']
Observatory Station Code: RBD,['Observatory Station Code: RBD']
Romo Geophysical Observatory,['Romo Geophysical Observatory']
Observatory Station Code: RVK,['Observatory Station Code: RVK']
Observatory Station Code: RSV,['Observatory Station Code: RSV']
Observatory Station Code: SAB,['Observatory Station Code: SAB']
Observatory Station Code: SBL,['Observatory Station Code: SBL']
Southern Auroral Electrojet Index,['Southern Auroral Electrojet Index']
Observatory Station Code: STFL,['Observatory Station Code: STFL']
Observatory Station Code: STJ,['Observatory Station Code: STJ']
Observatory Station Code: SALU,['Observatory Station Code: SALU']
Chain of ground stations in the SAMBA Array.,"['Chain of ground stations in the SAMBA Array.', 'SAMBA Ground Observatory Group']"
Antofagasta,['Antofagasta']
Escudero,['Escudero']
La Serena,['La Serena']
Los Cerrillos,['Los Cerrillos']
O'Higgins,"[""O'Higgins""]"
Osorno,['Osorno']
Puerto Natales,['Puerto Natales']
Punta Arenas,['Punta Arenas']
Putre,['Putre']
Valdivia,['Valdivia']
Observatory Station Code: SATX,['Observatory Station Code: SATX']
Observatory Station Code: SFS,['Observatory Station Code: SFS']
Observatory Station Code: SJG,['Observatory Station Code: SJG']
Observatory Station Code: SPT,['Observatory Station Code: SPT']
Observatory Station Code: SNA,['Observatory Station Code: SNA']
Observatory Station Code: SNKQ,['Observatory Station Code: SNKQ']
Observatory Station Code: SMG,['Observatory Station Code: SMG']
Observatory Station Code: SVS,['Observatory Station Code: SVS']
Observatory Station Code: SCHF,['Observatory Station Code: SCHF']
Observatory Station Code: SCO,['Observatory Station Code: SCO']
Observatory Station Code: SEPT,['Observatory Station Code: SEPT']
Observatory Station Code: SWNO,['Observatory Station Code: SWNO']
Observatory Station Code: SSH,"['Observatory Station Code: SSH', 'Zo-Se']"
Observatory Station Code: SHL,['Observatory Station Code: SHL']
Observatory Station Code: SHU,['Observatory Station Code: SHU']
Observatory Station Code: SIL,['Observatory Station Code: SIL']
Observatory Station Code: SSO,['Observatory Station Code: SSO']
Observatory Station Code: SIT,['Observatory Station Code: SIT']
Observatory Station Code: SNAP,['Observatory Station Code: SNAP']
Observatory Station Code: SOD,['Observatory Station Code: SOD']
Observatory Station Code: SOL,['Observatory Station Code: SOL']
Observatory Station Code: SOR,['Observatory Station Code: SOR']
Observatory Station Code: SGE,"['Observatory Station Code: SGE', 'Grytviken']"
Observatory Station Code: SPA,['Observatory Station Code: SPA']
Observatory Station Code: STJ,['Observatory Station Code: STJ']
Observatory Station Code: STFD,['Observatory Station Code: STFD']
Observatory Station Code: MGD,"['Observatory Station Code: MGD', 'Magadan']"
Observatory Station Code: BSL,"['Observatory Station Code: BSL', 'Bay St. Louis']"
Solar Terrestrial Energy Program,"['Solar Terrestrial Energy Program', 'Solar-Terrestrial Energy Program, STEP, Polar Network', 'UAPM', 'Upper Atmospheric Monitoring Program']"
Observatory Station Code: ODE,['Observatory Station Code: ODE']
Observatory Station Code: STO,['Observatory Station Code: STO']
Observatory Station Code: SKT,['Observatory Station Code: SKT']
Observatory Station Code: SUM,['Observatory Station Code: SUM']
Observatory Station Code: SUA,['Observatory Station Code: SUA']
Observatory Station Code: SWI,['Observatory Station Code: SWI']
Observatory Station Code: TAH,['Observatory Station Code: TAH']
Observatory Station Code: TAL,['Observatory Station Code: TAL']
Observatory Station Code: TAM,['Observatory Station Code: TAM']
Observatory Station Code: TNG,['Observatory Station Code: TNG']
Observatory Station Code: TAR,['Observatory Station Code: TAR']
Tasiilaq Geophysical Observatory,['Tasiilaq Geophysical Observatory']
Observatory Station Code: TTB,['Observatory Station Code: TTB']
Observatory Station Code: TEH,['Observatory Station Code: TEH']
TEIDE Observatory,['TEIDE Observatory']
Observatory Station Code: TEO,['Observatory Station Code: TEO']
TGO,['TGO']
Observatory Station Code: TPAS,"['Observatory Station Code: TPAS', 'Flin Flon']"
Observatory Station Code: TAB,['Observatory Station Code: TAB']
Observatory Station Code: THY,['Observatory Station Code: THY']
Observatory Station Code: TKH,['Observatory Station Code: TKH']
Observatory Station Code: TIK,['Observatory Station Code: TIK']
Observatory Station Code: TIR,['Observatory Station Code: TIR']
Observatory Station Code: TOK,['Observatory Station Code: TOK']
Observatory Station Code: TOL,['Observatory Station Code: TOL']
Observatory Station Code: TMK,['Observatory Station Code: TMK']
Observatory Station Code: TND,['Observatory Station Code: TND']
Observatory Station Code: THJ,['Observatory Station Code: THJ']
Observatory Station Code: TOO,['Observatory Station Code: TOO']
Toolik Lake Geophysical Observatory,['Toolik Lake Geophysical Observatory']
Trapper Creek Geophysical Observatory,['Trapper Creek Geophysical Observatory']
Observatory Station Code: TRW,['Observatory Station Code: TRW']
Observatory Station Code: TDC,['Observatory Station Code: TDC']
Observatory Station Code: TRD,['Observatory Station Code: TRD']
Tromso Geophysical Observatory,"['Tromso Geophysical Observatory', 'Observatory Station Code: TRO']"
Observatory Station Code: TSU,['Observatory Station Code: TSU']
Observatory Station Code: TUC,['Observatory Station Code: TUC']
Observatory Station Code: TUN,['Observatory Station Code: TUN']
"Solar-Terrestrial Energy Program, STEP, Polar Network","['Solar-Terrestrial Energy Program, STEP, Polar Network', 'Upper Atmospheric Monitoring Program', 'STEP']"
Udaipur,['Udaipur']
Observatory Station Code: UJJ,['Observatory Station Code: UJJ']
Observatory Station Code: UKIA,['Observatory Station Code: UKIA']
Observatory Station Code: UBA,['Observatory Station Code: UBA']
Upernavik Geophysical Observatory,['Upernavik Geophysical Observatory']
Observatory Station Code: UPS,"['Observatory Station Code: UPS', 'Fiby']"
USGA,['USGA']
Observatory Station Code: UPS,['Observatory Station Code: UPS']
Observatory Station Code: VLDR,['Observatory Station Code: VLDR']
Observatory Station Code: VLJ,['Observatory Station Code: VLJ']
Observatory Station Code: VAL,['Observatory Station Code: VAL']
Observatory Station Code: VSS,['Observatory Station Code: VSS']
Observatory Station Code: VIC,['Observatory Station Code: VIC']
Observatory Station Code: VQS,['Observatory Station Code: VQS']
Observatory Station Code: VSK,['Observatory Station Code: VSK']
Observatory Station Code: VIZ,['Observatory Station Code: VIZ']
Observatory Station Code: LNN,"['Observatory Station Code: LNN', 'Leningrad']"
Observatory Station Code: VOS,['Observatory Station Code: VOS']
Observatory Station Code: SVD,['Observatory Station Code: SVD']
Observatory Station Code: WLPS,['Observatory Station Code: WLPS']
WDC Ground Observatories,"['WDC Ground Observatories', 'WDC']"
Observatory Station Code: WHIT,['Observatory Station Code: WHIT']
Observatory Station Code: WHS,['Observatory Station Code: WHS']
Observatory Station Code: WHS,['Observatory Station Code: WHS']
Observatory Station Code: WIA,['Observatory Station Code: WIA']
Observatory Station Code: WIK,['Observatory Station Code: WIK']
Observatory Station Code: WIL,['Observatory Station Code: WIL']
Observatory Station Code: WNG,['Observatory Station Code: WNG']
Observatory Station Code: WIT,['Observatory Station Code: WIT']
Observatory Station Code: WRTH,['Observatory Station Code: WRTH']
Observatory Station Code: WHN,['Observatory Station Code: WHN']
Observatory Station Code: YAK,['Observatory Station Code: YAK']
Observatory Station Code: TKT,"['Observatory Station Code: TKT', 'Tashkent']"
Observatory Station Code: YKNF,"['Observatory Station Code: YKNF', 'Observatory Station Code: YKC']"
Observatory Station Code: YSS,['Observatory Station Code: YSS']
Observatory Station Code: KZN,['Observatory Station Code: KZN']
HANET Observatory Network,['HANET Observatory Network']
Neutral Point Explorer,"['Neutral Point Explorer', 'Hawkeye 1', 'Injun-F', 'Explorer 52']"
Helios Mission,['Helios Mission']
Helios-A,['Helios-A']
Helios-B,['Helios-B']
HEO-1,['HEO-1']
HEO-2,['HEO-2']
HEO-3,['HEO-3']
Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),['Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES)']
Hinode,['Hinode']
Astronomical Satellite-A,"['Astronomical Satellite-A', '1981-017A', 'ASTRO-A']"
International Association of Geomagnetism and Aeronomy,['International Association of Geomagnetism and Aeronomy']
Aberystwyth,"['Aberystwyth', 'IAGA:AWY']"
IAGA:ABN,"['IAGA:ABN', 'Abinger']"
IAGA:ABK,"['IAGA:ABK', 'Abisko']"
IAGA:ACR,"['IAGA:ACR', 'Accra']"
IAGA:ADA,"['IAGA:ADA', 'Adak']"
Addis.Ababa,"['Addis.Ababa', 'IAGA:AAE']"
Adelaide,"['Adelaide', 'IAGA:ADE']"
IAGA:AED,"['IAGA:AED', 'Aedey']"
Agincourt,"['Agincourt', 'IAGA:AGN']"
Ahmedabad,"['Ahmedabad', 'IAGA:AHM']"
IAGA:ALE,"['IAGA:ALE', 'Alert']"
Alger.Island,"['Alger.Island', 'IAGA:ALG']"
IAGA:ABG,"['IAGA:ABG', 'Alibag']"
Alice.Springs,"['Alice.Springs', 'IAGA:ASP']"
Allahabad,"['Allahabad', 'IAGA:ALH']"
Alma.Ata,"['Alma.Ata', 'IAGA:AAA']"
IAGA:ALM,"['IAGA:ALM', 'Almeria']"
Aloushta,"['Aloushta', 'IAGA:ALU']"
IAGA:AMT,"['IAGA:AMT', 'Amatsia']"
Ambarnaya,"['Ambarnaya', 'IAGA:AMN']"
Amberley,"['Amberley', 'IAGA:AML']"
IAGA:AMD,"['IAGA:AMD', 'Amderma']"
Anchorage,"['Anchorage', 'IAGA:AMU']"
IAGA:ANC,"['IAGA:ANC', 'Ancon']"
Andrews.AFB,"['Andrews.AFB', 'IAGA:AWS']"
Angmakssalik,"['Angmakssalik', 'IAGA:AMK']"
Angra.Do.Heroismo,"['Angra.Do.Heroismo', 'IAGA:ANH']"
IAGA:ANK,"['IAGA:ANK', 'Ankara']"
Annamalainagar,"['Annamalainagar', 'IAGA:ANN']"
Antananarivo,"['Antananarivo', 'IAGA:TAN']"
Antipolo,"['Antipolo', 'IAGA:ANO']"
IAGA:APA,"['IAGA:APA', 'Apatity']"
IAGA:API,"['IAGA:API', 'Apia']"
Arctic.Ice.Flo,"['Arctic.Ice.Flo', 'IAGA:AIF']"
Arctic.Village,"['Arctic.Village', 'IAGA:AVI']"
Arctowski,"['Arctowski', 'IAGA:ARC']"
Arequipa,"['Arequipa', 'IAGA:ARE']"
Vernadski,"['Vernadski', 'IAGA:AIA']"
Arkhangel'Sk,"[""Arkhangel'Sk"", 'IAGA:ARK']"
IAGA:ARS,"['IAGA:ARS', 'Arti']"
Ascension.Island,"['Ascension.Island', 'IAGA:ASC']"
Vannovskaya,"['Vannovskaya', 'IAGA:ASH']"
IAGA:ASO,"['IAGA:ASO', 'Aso']"
Asuka.Station,"['Asuka.Station', 'IAGA:ASK']"
IAGA:ATH,"['IAGA:ATH', 'Athens']"
IAGA:AUT,"['IAGA:AUT', 'Au-Tau']"
Auckland.Island,"['Auckland.Island', 'IAGA:AUI']"
Averroes,"['Averroes', 'IAGA:AVE']"
IAGA:BKC,"['IAGA:BKC', 'Back']"
IAGA:BCL,"['IAGA:BCL', 'Baclieu']"
Baffin.Island,"['Baffin.Island', 'IAGA:BFI']"
IAGA:BGH,"['IAGA:BGH', 'Baghdad']"
IAGA:BAG,"['IAGA:BAG', 'Baguio']"
Baker.Lake,"['Baker.Lake', 'IAGA:BLC']"
IAGA:BAL,"['IAGA:BAL', 'Baldwin']"
IAGA:BKK,"['IAGA:BKK', 'Bangkok']"
IAGA:BNG,"['IAGA:BNG', 'Bangui']"
Bar.Gyora,"['Bar.Gyora', 'IAGA:BGY']"
Barentsburg,"['Barentsburg', 'IAGA:BBG']"
IAGA:BRN,"['IAGA:BRN', 'Barnaul']"
Barrackpore,"['Barrackpore', 'IAGA:BAP']"
IAGA:BRW,"['IAGA:BRW', 'Barrow']"
Barter.Island,"['Barter.Island', 'IAGA:BTI']"
IAGA:BAH,"['IAGA:BAH', 'Barth']"
IAGA:BTV,"['IAGA:BTV', 'Batavia']"
Bay.St.Louis,"['Bay.St.Louis', 'IAGA:BSL']"
Bei-Jing,"['Bei-Jing', 'IAGA:BJI']"
Beijing.Ming.Tombs,"['Beijing.Ming.Tombs', 'IAGA:BMT']"
Beliy.Island,"['Beliy.Island', 'IAGA:BEY']"
IAGA:BLT,"['IAGA:BLT', 'Beloit']"
IAGA:BEL,"['IAGA:BEL', 'Belsk']"
Karaganda,"['Karaganda', 'IAGA:KGD']"
IAGA:BEU,"['IAGA:BEU', 'Beuthen']"
Big.Delta,"['Big.Delta', 'IAGA:BDE']"
IAGA:BIN,"['IAGA:BIN', 'Binza']"
Bjornoya,"['Bjornoya', 'IAGA:BJN']"
Black.Forest,"['Black.Forest', 'IAGA:BFO']"
IAGA:BOC,"['IAGA:BOC', 'Bochum']"
IAGA:BOD,"['IAGA:BOD', 'Bodo']"
IAGA:BGA,"['IAGA:BGA', 'Borga']"
IAGA:BOX,"['IAGA:BOX', 'Borok']"
Bossekop,"['Bossekop', 'IAGA:BOP']"
IAGA:BOU,"['IAGA:BOU', 'Boulder']"
Bouzareah,"['Bouzareah', 'IAGA:BZR']"
IAGA:BRE,"['IAGA:BRE', 'Breslau']"
Brisbane,"['Brisbane', 'IAGA:BRS']"
Brorfelde,"['Brorfelde', 'IAGA:BFE']"
Bucharest,"['Bucharest', 'IAGA:BUC']"
Budakeszi,"['Budakeszi', 'IAGA:BUZ']"
Budapest,"['Budapest', 'IAGA:BUP']"
IAGA:BDV,"['IAGA:BDV', 'Budkov']"
IAGA:BNA,"['IAGA:BNA', 'Bunia']"
Burlington,"['Burlington', 'IAGA:BRT']"
Byrd.Station.1,"['Byrd.Station.1', 'IAGA:BYR']"
Cachoeira.Paulista,"['Cachoeira.Paulista', 'IAGA:CHP']"
Cambridge.Bay,"['Cambridge.Bay', 'IAGA:CBB']"
Camp.Douglas,"['Camp.Douglas', 'IAGA:CDS']"
Campbell.Island,"['Campbell.Island', 'IAGA:CAI']"
Canberra,"['Canberra', 'IAGA:CNB']"
Cap.Thordsen,"['Cap.Thordsen', 'IAGA:CTH']"
Cape.Chelyuskin,"['Cape.Chelyuskin', 'IAGA:CCS']"
Cape.Denison,"['Cape.Denison', 'IAGA:CDE']"
Cape.Evans,"['Cape.Evans', 'IAGA:CEV']"
Cape.Kamenniy,"['Cape.Kamenniy', 'IAGA:CKA']"
Cape.Of.Good.Hope,"['Cape.Of.Good.Hope', 'IAGA:CGH']"
Cape.Parry,"['Cape.Parry', 'IAGA:CPY']"
Cape.Schmidt,"['Cape.Schmidt', 'IAGA:CPS']"
Cape.Town,"['Cape.Town', 'IAGA:CTO']"
Cape.Wellen,"['Cape.Wellen', 'IAGA:CWE']"
Cape.Zhelania,"['Cape.Zhelania', 'IAGA:CZA']"
Capodimonte,"['Capodimonte', 'IAGA:CPD']"
IAGA:CPI,"['IAGA:CPI', 'Capri']"
Carrollton,"['Carrollton', 'IAGA:CAX']"
IAGA:CSY,"['IAGA:CSY', 'Casey']"
IAGA:CSR,"['IAGA:CSR', 'Casper']"
Castellaccio,"['Castellaccio', 'IAGA:CAO']"
Castello.Tesino,"['Castello.Tesino', 'IAGA:CTS']"
Castle.Rock,"['Castle.Rock', 'IAGA:CRC']"
IAGA:CCP,"['IAGA:CCP', 'Cebu']"
IAGA:CPA,"['IAGA:CPA', 'Cha-Pa']"
Chambon.La.Foret,"['Chambon.La.Foret', 'IAGA:CLF']"
Changchun,"['Changchun', 'IAGA:CNH']"
IAGA:CTX,"['IAGA:CTX', 'Charcot']"
Charters.Towers,"['Charters.Towers', 'IAGA:CTA']"
Cheltenham,"['Cheltenham', 'IAGA:CLH']"
IAGA:CDP,"['IAGA:CDP', 'Chengdu']"
Chesterfield.Inlet,"['Chesterfield.Inlet', 'IAGA:CFI']"
Chichijima,"['Chichijima', 'IAGA:CBI']"
Chiclayo,"['Chiclayo', 'IAGA:CCL']"
Chilbolton,"['Chilbolton', 'IAGA:CLB']"
Chimbote,"['Chimbote', 'IAGA:CMB']"
IAGA:CRP,"['IAGA:CRP', 'Chiripa']"
Chittagong,"['Chittagong', 'IAGA:CHT']"
Christchurch,"['Christchurch', 'IAGA:CHR']"
Clausthal,"['Clausthal', 'IAGA:CLZ']"
IAGA:CLI,"['IAGA:CLI', 'Climax']"
IAGA:COI,"['IAGA:COI', 'Coimbra']"
IAGA:CLA,"['IAGA:CLA', 'Colaba']"
IAGA:CMO,"['IAGA:CMO', 'College']"
Collmberg,"['Collmberg', 'IAGA:CLL']"
Colorado.Springs,"['Colorado.Springs', 'IAGA:CSS']"
Copenhagen,"['Copenhagen', 'IAGA:COP']"
Port.Alfred,"['Port.Alfred', 'IAGA:CZT']"
Cuajimalpa,"['Cuajimalpa', 'IAGA:CUA']"
IAGA:CUS,"['IAGA:CUS', 'Cuzco']"
IAGA:DLT,"['IAGA:DLT', 'Dalat']"
IAGA:DLN,"['IAGA:DLN', 'Dalian']"
IAGA:DAL,"['IAGA:DAL', 'Dallas']"
Dar.Es.Salaam,"['Dar.Es.Salaam', 'IAGA:DRS']"
IAGA:DAR,"['IAGA:DAR', 'Darwin']"
IAGA:DAV,"['IAGA:DAV', 'Davao']"
IAGA:DVS,"['IAGA:DVS', 'Davis']"
IAGA:DBN,"['IAGA:DBN', 'De.Bilt']"
Dehra.Dun,"['Dehra.Dun', 'IAGA:DDI']"
IAGA:DEK,"['IAGA:DEK', 'Dekelia']"
IAGA:DLR,"['IAGA:DLR', 'Del.Rio']"
Discovery.Bay.North,"['Discovery.Bay.North', 'IAGA:DIS']"
Discovery.Bay.South,"['Discovery.Bay.South', 'IAGA:HUT']"
IAGA:DIK,"['IAGA:DIK', 'Dixon']"
Djibouti,"['Djibouti', 'IAGA:DJI']"
IAGA:DOB,"['IAGA:DOB', 'Dombas']"
Dome.Concordia,"['Dome.Concordia', 'IAGA:DMC']"
Dome.Fuji,"['Dome.Fuji', 'IAGA:DMF']"
Donnersberg,"['Donnersberg', 'IAGA:DNB']"
IAGA:DOU,"['IAGA:DOU', 'Dourbes']"
IAGA:DUB,"['IAGA:DUB', 'Dublin']"
Dumont.Durville,"['Dumont.Durville', 'IAGA:DRV']"
IAGA:DUR,"['IAGA:DUR', 'Durham']"
IAGA:TFS,"['IAGA:TFS', 'Dusheti']"
IAGA:KIV,"['IAGA:KIV', 'Dymer']"
East.Anglia,"['East.Anglia', 'IAGA:EAA']"
Easter.Island,"['Easter.Island', 'IAGA:EIC']"
Eastport,"['Eastport', 'IAGA:ETP']"
IAGA:EBR,"['IAGA:EBR', 'Ebro']"
Eielson.AFB,"['Eielson.AFB', 'IAGA:ENB']"
Eights.Station,"['Eights.Station', 'IAGA:EGS']"
IAGA:ELT,"['IAGA:ELT', 'Eilat']"
El.Abiod.Sidi,"['El.Abiod.Sidi', 'IAGA:EAS']"
Elizabethville,"['Elizabethville', 'IAGA:ELI']"
Enkoping,"['Enkoping', 'IAGA:ENK']"
IAGA:ESA,"['IAGA:ESA', 'Esashi']"
Eskdalemuir,"['Eskdalemuir', 'IAGA:ESK']"
Eskimo.Point,"['Eskimo.Point', 'IAGA:EKP']"
Espanola,"['Espanola', 'IAGA:EPN']"
IAGA:ETA,"['IAGA:ETA', 'Etah']"
Etaiyapuram,"['Etaiyapuram', 'IAGA:ETT']"
IAGA:EUA,"['IAGA:EUA', 'Eureka']"
IAGA:EUS,"['IAGA:EUS', 'Eusebio']"
Eyrewell,"['Eyrewell', 'IAGA:EYR']"
Falmouth,"['Falmouth', 'IAGA:FAL']"
Fanning.Island,"['Fanning.Island', 'IAGA:FAN']"
Flensburg,"['Flensburg', 'IAGA:FLE']"
Floeberg.Beach,"['Floeberg.Beach', 'IAGA:FLB']"
Fort.Chipewyan,"['Fort.Chipewyan', 'IAGA:FCP']"
Fort.Churchill.2,"['Fort.Churchill.2', 'IAGA:FCC']"
Fort.Conger,"['Fort.Conger', 'IAGA:FCR']"
Fort.Mcmurray,"['Fort.Mcmurray', 'IAGA:FMM']"
Fort.Rae,"['Fort.Rae', 'IAGA:FRA']"
Fort.Severn,"['Fort.Severn', 'IAGA:FSV']"
Fort.Simpson,"['Fort.Simpson', 'IAGA:FSP']"
Fort.Smith,"['Fort.Smith', 'IAGA:FSM']"
Fort.Yukon,"['Fort.Yukon', 'IAGA:FYU']"
Fredericksburg,"['Fredericksburg', 'IAGA:FRD']"
Freetown,"['Freetown', 'IAGA:FTN']"
Freiberg,"['Freiberg', 'IAGA:FRB']"
