ResourceID,hcut_id,short_name,long_name
spase://SMWG/Observatory/DMSP_5D-3/F15,DMSP_5D-3_F15,"Defense Meteorological Satellite Program, DMSP F15",DMSP_5D-3/F15
spase://SMWG/Observatory/DMSP_5D-3/F16,DMSP_5D-3_F16,"Defense Meteorological Satellite Program, DMSP F16",DMSP_5D-3/F16
spase://SMWG/Observatory/DMSP_5D-3/F17,DMSP_5D-3_F17,"Defense Meteorological Satellite Program, DMSP F17",DMSP_5D-3/F17
spase://SMWG/Observatory/DMSP_5D-3/F18,DMSP_5D-3_F18,"Defense Meteorological Satellite Program, DMSP F18",DMSP_5D-3/F18
spase://SMWG/Observatory/DMSP_5D-3/F19,DMSP_5D-3_F19,"Defense Meteorological Satellite Program, DMSP F19",DMSP_5D-3/F19
spase://SMWG/Observatory/DMSP_5D-3/S20,DMSP_5D-3_S20,"Defense Meteorological Satellite Program, DMSP S20",DMSP_5D-3/S20
spase://SMWG/Observatory/DoubleStar,DoubleStar,Double Star,Tan Ce
spase://SMWG/Observatory/DoubleStar1,DoubleStar1,Double Star 1,2003-061A
spase://SMWG/Observatory/DoubleStar2,DoubleStar2,Double Star 2,Explorer  2
spase://SMWG/Observatory/DRAO,DRAO,DRAO,Dominion Radio Astrophysical Observatory
spase://SMWG/Observatory/DSCOVR,DSCOVR,DSCOVR,Deep Space Climate Observatory
spase://SMWG/Observatory/DST,DST,Dunn Solar Telescope (DST),Dunn Solar Telescope (DST)
spase://SMWG/Observatory/Dst.Index,Dst.Index,Dst Index Observatory Group,Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.
spase://SMWG/Observatory/DSX,DSX,DSX,Demonstrations and Science Experiment
spase://SMWG/Observatory/DTUMGS,DTUMGS,Technical University of Denmark Magnetic Ground Stations,Technical University of Denmark Magnetic Ground Stations
spase://SMWG/Observatory/DynamicsExplorer1,DynamicsExplorer1,Dynamics Explorer 1,Dynamics Explorer-A
spase://SMWG/Observatory/DynamicsExplorer2,DynamicsExplorer2,Dynamics Explorer 2,Dynamics Explorer-B
spase://SMWG/Observatory/E-CALLISTO,E-CALLISTO,e CALLISTO International Network of Solar Radio Spectrometers,e-CALLISTO International Network of Solar Radio Spectrometers
spase://SMWG/Observatory/ELFIN/A,ELFIN_A,ELFIN A,"Electron Losses and Fields Investigation A, CubeSat"
spase://SMWG/Observatory/ELFIN/B,ELFIN_B,ELFIN B,"Electron Losses and Fields Investigation B, CubeSat"
spase://SMWG/Observatory/EMM,EMM,Emirates Mars (EMM),Emirates Mars Mission (EMM)
spase://SMWG/Observatory/Equator-S,Equator-S,Equator S,ISTP/Equator-S
spase://SMWG/Observatory/EskimoPoint,EskimoPoint,ESKI,ESKI
spase://SMWG/Observatory/EvansSolarFacility,EvansSolarFacility,Evans Solar Facility,John W. Evans Solar Facility
spase://SMWG/Observatory/Explorer,Explorer,Explorer Spacecraft Series,Explorer Spacecraft Series
spase://SMWG/Observatory/Explorer22,Explorer22,Explorer 22,Beacon Explorer-B
spase://SMWG/Observatory/Explorer31,Explorer31,Explorer 31,1965-098B
spase://SMWG/Observatory/Explorer32,Explorer32,Explorer 32,Atmosphere Explorer-B
spase://SMWG/Observatory/Explorer33,Explorer33,Explorer 33,AIMP A
spase://SMWG/Observatory/Explorer35,Explorer35,Explorer,Anchored IMP 2
spase://SMWG/Observatory/FAST,FAST,FAST,Fast Auroral Snapshot
spase://SMWG/Observatory/FERMI,FERMI,Fermi Gamma ray Space Telescope,Fermi Gamma-ray Space Telescope
spase://SMWG/Observatory/FortMcMurray,FortMcMurray,MCMU,MCMU
spase://SMWG/Observatory/FortSimpson,FortSimpson,FSIM,FSIM
spase://SMWG/Observatory/FortSmith,FortSmith,FSMI,FSMI
spase://SMWG/Observatory/Galileo,Galileo,Galileo,Galileo Orbiter-Probe
spase://SMWG/Observatory/Genesis,Genesis,Genesis,Genesis Solar Wind Sample Return
spase://SMWG/Observatory/Geotail,Geotail,Geotail,Geomagnetic Tail Lab
spase://SMWG/Observatory/Gillam,Gillam,GILL,GILL
spase://SMWG/Observatory/Giotto,Giotto,Giotto,Giotto
